#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;224.3;224.3;88067.0;86665.6
2;1.91;1.88;0.471;0.462;117.4;119.3;46589.4;46666.9
3;2.69;2.66;0.619;0.616;83.5;84.3;33558.1;33333.9
4;3.41;3.36;0.696;0.693;65.9;66.8;26752.9;26667.5
5;4.02;3.99;0.740;0.739;55.9;56.3;22903.3;22667.6
6;4.61;4.55;0.771;0.770;48.7;49.3;20124.7;20001.0
7;5.15;5.07;0.794;0.792;43.5;44.3;18124.0;18096.3
8;5.58;5.54;0.809;0.809;40.2;40.5;16862.2;16667.8
9;6.01;5.97;0.821;0.821;37.3;37.6;15746.8;15556.7
10;6.41;6.36;0.832;0.832;35.0;35.3;14759.7;14667.8
11;6.85;6.73;0.842;0.840;32.8;33.3;13952.6;13940.6
12;7.14;7.06;0.847;0.847;31.4;31.8;13498.7;13334.5
13;7.47;7.38;0.853;0.853;30.1;30.4;12944.5;12821.7
14;7.73;7.67;0.858;0.858;29.0;29.3;12535.9;12382.2
15;7.99;7.94;0.862;0.862;28.1;28.3;12153.5;12001.3
16;8.28;8.19;0.866;0.866;27.1;27.4;11804.4;11667.9
17;8.57;8.43;0.870;0.870;26.2;26.6;11449.8;11373.8
18;8.75;8.66;0.873;0.873;25.6;25.9;11226.0;11112.4
19;8.66;8.87;0.871;0.875;25.9;25.3;11350.3;10878.5
20;9.15;9.06;0.877;0.878;24.5;24.8;10846.7;10668.0
21;9.33;9.25;0.879;0.880;24.1;24.3;10655.3;10477.5
22;9.49;9.43;0.881;0.882;23.6;23.8;10485.2;10304.3
23;9.67;9.59;0.883;0.884;23.2;23.4;10346.5;10146.2
24;9.86;9.75;0.885;0.886;22.7;23.0;10144.9;10001.3
25;9.96;9.90;0.885;0.887;22.5;22.6;10118.9;9868.0
26;10.18;10.05;0.888;0.888;22.0;22.3;9870.8;9744.9
27;10.25;10.18;0.888;0.890;21.9;22.0;9842.1;9631.0
28;10.38;10.31;0.890;0.891;21.6;21.7;9716.8;9525.1
29;10.48;10.44;0.890;0.892;21.4;21.5;9696.0;9426.6
30;10.57;10.56;0.891;0.893;21.2;21.2;9606.0;9334.7
31;10.79;10.67;0.894;0.894;20.8;21.0;9350.2;9248.7
32;10.74;10.78;0.893;0.895;20.9;20.8;9457.8;9168.0
33;10.95;10.88;0.894;0.896;20.5;20.6;9350.7;9092.3
34;10.97;10.98;0.894;0.897;20.4;20.4;9347.0;9021.0
35;10.99;11.08;0.894;0.898;20.4;20.2;9323.5;8953.7
36;11.19;11.17;0.896;0.898;20.0;20.1;9158.5;8890.2
37;11.25;11.26;0.897;0.899;19.9;19.9;9107.8;8830.2
38;11.35;11.34;0.898;0.900;19.8;19.8;9012.8;8773.3
39;11.45;11.43;0.898;0.900;19.6;19.6;8952.9;8719.3
40;11.47;11.51;0.899;0.901;19.6;19.5;8934.4;8668.0
41;11.45;11.58;0.898;0.901;19.6;19.4;8953.8;8619.2
42;11.69;11.65;0.899;0.902;19.2;19.2;8863.5;8572.8
43;11.80;11.73;0.900;0.903;19.0;19.1;8763.3;8528.5
44;11.67;11.79;0.899;0.903;19.2;19.0;8850.9;8486.2
45;11.86;11.86;0.901;0.903;18.9;18.9;8722.7;8445.8
46;11.88;11.92;0.901;0.904;18.9;18.8;8689.9;8407.2
47;11.69;11.99;0.899;0.904;19.2;18.7;8852.8;8370.2
48;11.84;12.05;0.901;0.905;18.9;18.6;8745.3;8334.7
