#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;1921.6;1921.6;758887.7;741879.2
2;1.93;1.97;0.472;0.486;996.9;975.5;400831.1;381621.0
3;2.88;2.91;0.640;0.648;666.5;660.1;273410.7;261535.0
4;3.82;3.82;0.722;0.729;503.5;502.4;210707.8;201491.9
5;4.74;4.71;0.772;0.777;405.6;407.8;172831.2;165466.1
6;5.62;5.57;0.805;0.810;341.8;344.8;148095.5;141448.9
7;6.49;6.41;0.828;0.833;296.3;299.7;130615.2;124293.8
8;6.94;7.23;0.837;0.850;277.0;265.9;123351.8;111427.4
9;7.70;8.02;0.851;0.864;249.7;239.6;112812.9;101420.2
10;8.46;8.79;0.863;0.874;227.2;218.6;104050.4;93414.5
11;9.14;9.54;0.871;0.883;210.1;201.4;97519.8;86864.3
12;9.89;10.27;0.879;0.891;194.3;187.1;91461.7;81405.9
13;10.63;10.98;0.886;0.897;180.8;175.0;86245.6;76787.2
14;11.42;11.68;0.893;0.902;168.3;164.6;81433.9;72828.3
15;12.38;12.35;0.899;0.907;155.2;155.5;76319.4;69397.3
16;13.67;13.01;0.907;0.911;140.6;147.7;70459.9;66395.1
17;13.80;13.66;0.908;0.914;139.3;140.7;70115.9;63746.2
18;14.52;14.28;0.911;0.918;132.3;134.5;67680.4;61391.5
19;14.66;14.90;0.912;0.920;131.1;129.0;67116.8;59284.8
20;15.89;15.50;0.917;0.923;121.0;124.0;63315.3;57388.7
21;16.41;16.08;0.919;0.925;117.1;119.5;61748.7;55673.1
22;15.75;16.65;0.916;0.927;122.0;115.4;63871.2;54113.6
23;18.10;17.21;0.924;0.929;106.2;111.7;57486.5;52689.6
24;19.00;17.75;0.927;0.931;101.1;108.2;55527.8;51384.4
25;18.20;18.29;0.924;0.933;105.6;105.1;57914.4;50183.5
26;18.13;18.81;0.924;0.934;106.0;102.2;57878.9;49075.0
27;20.88;19.32;0.931;0.936;92.0;99.5;52275.7;48048.6
28;19.42;19.81;0.927;0.937;99.0;97.0;55490.9;47095.6
29;20.52;20.30;0.930;0.938;93.6;94.7;53325.1;46208.2
30;19.69;20.78;0.928;0.939;97.6;92.5;54863.5;45380.1
31;21.19;21.25;0.931;0.940;90.7;90.4;52077.9;44605.3
32;23.81;21.70;0.936;0.941;80.7;88.5;48483.1;43879.0
33;23.70;22.15;0.936;0.942;81.1;86.7;48783.0;43196.7
34;23.33;22.59;0.935;0.943;82.3;85.1;49316.0;42554.5
35;22.77;23.02;0.934;0.944;84.4;83.5;50320.6;41949.0
36;24.24;23.44;0.937;0.945;79.3;82.0;48100.3;41377.2
37;23.23;23.86;0.935;0.945;82.7;80.5;49649.1;40836.3
38;24.02;24.26;0.936;0.946;80.0;79.2;48747.6;40323.8
39;23.72;24.66;0.935;0.947;81.0;77.9;49162.0;39837.6
40;26.35;25.05;0.939;0.947;72.9;76.7;46244.7;39375.8
41;27.93;25.43;0.941;0.948;68.8;75.6;44483.9;38936.4
42;27.16;25.81;0.940;0.948;70.7;74.5;45443.0;38518.0
43;27.33;26.18;0.940;0.949;70.3;73.4;45440.6;38119.0
44;27.01;26.54;0.940;0.950;71.1;72.4;45782.1;37738.2
45;24.82;26.89;0.936;0.950;77.4;71.5;48831.1;37374.3
46;26.41;27.24;0.938;0.950;72.8;70.5;46713.9;37026.2
47;25.50;27.58;0.937;0.951;75.4;69.7;48124.1;36693.0
48;25.25;27.92;0.936;0.951;76.1;68.8;48235.6;36373.6
