#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;528.8;528.8;206848.2;204120.1
2;2.00;2.00;0.494;0.493;264.3;264.7;104750.3;103560.3
3;3.00;2.99;0.658;0.657;176.2;176.7;70686.4;70040.4
4;4.01;3.99;0.741;0.739;131.9;132.7;53578.2;53280.4
5;5.01;4.98;0.790;0.788;105.5;106.3;43418.5;43224.5
6;5.99;5.96;0.822;0.821;88.2;88.7;36730.9;36520.5
7;7.00;6.95;0.846;0.845;75.5;76.1;31785.4;31731.9
8;8.01;7.93;0.864;0.862;66.0;66.7;28102.9;28140.5
9;9.01;8.91;0.878;0.876;58.7;59.3;25262.4;25347.2
10;10.01;9.89;0.889;0.887;52.9;53.5;23016.7;23112.5
11;11.00;10.87;0.898;0.896;48.1;48.6;21163.1;21284.1
12;12.00;11.84;0.905;0.903;44.1;44.6;19615.1;19760.5
13;13.00;12.82;0.912;0.910;40.7;41.3;18301.5;18471.3
14;13.99;13.78;0.917;0.915;37.8;38.4;17166.3;17366.2
15;15.00;14.75;0.922;0.920;35.3;35.8;16190.1;16408.5
16;15.96;15.72;0.926;0.924;33.1;33.6;15373.5;15570.5
17;16.97;16.68;0.929;0.928;31.2;31.7;14623.3;14831.1
18;17.94;17.64;0.932;0.931;29.5;30.0;13981.0;14173.9
19;18.95;18.60;0.935;0.934;27.9;28.4;13380.8;13585.8
20;19.94;19.55;0.938;0.936;26.5;27.0;12848.7;13056.5
21;20.93;20.51;0.940;0.939;25.3;25.8;12367.4;12577.7
22;21.90;21.46;0.942;0.941;24.1;24.6;11953.8;12142.3
23;22.90;22.41;0.944;0.943;23.1;23.6;11551.1;11744.9
24;23.84;23.36;0.946;0.944;22.2;22.6;11222.1;11380.5
25;24.80;24.30;0.947;0.946;21.3;21.8;10868.7;11045.3
26;25.81;25.24;0.949;0.948;20.5;20.9;10542.0;10735.9
27;26.76;26.18;0.950;0.949;19.8;20.2;10271.9;10449.4
28;27.76;27.12;0.952;0.950;19.1;19.5;10007.2;10183.4
29;28.65;28.06;0.953;0.952;18.5;18.8;9781.8;9935.7
30;29.54;28.99;0.954;0.953;17.9;18.2;9562.5;9704.5
31;30.58;29.92;0.955;0.954;17.3;17.7;9328.4;9488.3
32;31.61;30.85;0.956;0.955;16.7;17.1;9109.1;9285.5
33;32.44;31.78;0.957;0.956;16.3;16.6;8961.7;9095.1
34;33.30;32.70;0.958;0.957;15.9;16.2;8788.6;8915.8
35;34.09;33.63;0.958;0.957;15.5;15.7;8638.2;8746.8
36;34.93;34.55;0.959;0.958;15.1;15.3;8506.7;8587.2
37;35.78;35.47;0.959;0.959;14.8;14.9;8406.9;8436.2
38;36.47;36.38;0.960;0.960;14.5;14.5;8343.3;8293.2
39;37.29;37.30;0.960;0.960;14.2;14.2;8200.3;8157.5
40;38.04;38.21;0.961;0.961;13.9;13.8;8099.8;8028.5
41;38.85;39.12;0.961;0.961;13.6;13.5;8004.3;7905.9
42;39.73;40.03;0.962;0.962;13.3;13.2;7891.1;7789.1
43;40.61;40.94;0.962;0.963;13.0;12.9;7785.0;7677.7
44;41.31;41.84;0.963;0.963;12.8;12.6;7724.3;7571.4
45;42.07;42.74;0.963;0.964;12.6;12.4;7645.7;7469.9
46;43.10;43.64;0.964;0.964;12.3;12.1;7531.6;7372.7
47;43.74;44.54;0.964;0.965;12.1;11.9;7475.0;7279.7
48;44.70;45.44;0.964;0.965;11.8;11.6;7376.4;7190.5
