#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;41.6;41.6;16455.9;16109.0
2;1.50;1.72;0.327;0.412;27.8;24.3;11070.7;9494.0
3;2.12;2.25;0.522;0.549;19.6;18.5;7872.2;7289.0
4;2.18;2.67;0.534;0.617;19.1;15.6;7668.7;6186.5
5;2.48;3.01;0.586;0.659;16.8;13.8;6808.8;5525.0
6;2.85;3.28;0.635;0.686;14.6;12.7;5999.1;5084.0
7;3.17;3.51;0.672;0.706;13.1;11.9;5401.1;4769.0
8;3.51;3.70;0.704;0.720;11.9;11.2;4865.2;4532.7
9;3.54;3.87;0.704;0.732;11.8;10.8;4875.5;4349.0
10;3.71;4.02;0.716;0.741;11.2;10.4;4670.2;4202.0
11;3.99;4.14;0.738;0.748;10.4;10.1;4312.7;4081.7
12;4.01;4.25;0.737;0.755;10.4;9.8;4330.8;3981.5
13;4.15;4.35;0.744;0.760;10.0;9.6;4212.5;3896.6
14;4.42;4.44;0.762;0.764;9.4;9.4;3917.6;3823.9
15;4.41;4.52;0.760;0.768;9.4;9.2;3941.3;3760.9
16;4.64;4.59;0.771;0.772;9.0;9.1;3776.4;3705.8
17;4.78;4.66;0.779;0.775;8.7;8.9;3634.6;3657.2
18;4.47;4.72;0.765;0.778;9.3;8.8;3863.9;3613.9
19;4.89;4.77;0.786;0.780;8.5;8.7;3524.0;3575.3
20;5.03;4.82;0.789;0.782;8.3;8.6;3465.0;3540.4
21;4.90;4.87;0.784;0.784;8.5;8.6;3547.5;3508.9
22;4.89;4.91;0.791;0.786;8.5;8.5;3434.1;3480.3
23;5.17;4.95;0.798;0.787;8.1;8.4;3323.5;3454.2
24;5.19;4.99;0.792;0.789;8.0;8.3;3425.8;3430.2
25;5.07;5.03;0.794;0.790;8.2;8.3;3394.7;3408.1
26;5.42;5.06;0.799;0.792;7.7;8.2;3310.7;3387.8
27;5.44;5.09;0.799;0.793;7.7;8.2;3315.4;3368.9
28;5.14;5.12;0.789;0.794;8.1;8.1;3470.2;3351.4
29;5.44;5.14;0.806;0.795;7.7;8.1;3196.9;3335.2
30;5.31;5.17;0.801;0.796;7.8;8.1;3280.6;3319.9
31;5.39;5.19;0.807;0.797;7.7;8.0;3181.4;3305.7
32;5.42;5.22;0.809;0.798;7.7;8.0;3145.0;3292.4
33;5.27;5.24;0.791;0.798;7.9;7.9;3445.8;3279.9
34;5.17;5.26;0.788;0.799;8.1;7.9;3491.6;3268.1
35;5.32;5.28;0.797;0.800;7.8;7.9;3339.0;3256.9
36;5.39;5.30;0.805;0.800;7.7;7.9;3212.4;3246.4
37;5.41;5.31;0.807;0.801;7.7;7.8;3174.2;3236.5
38;5.31;5.33;0.792;0.802;7.8;7.8;3429.2;3227.1
39;5.23;5.35;0.789;0.802;8.0;7.8;3472.3;3218.2
40;5.43;5.36;0.799;0.803;7.7;7.8;3313.6;3209.7
41;5.14;5.38;0.795;0.803;8.1;7.7;3380.0;3201.6
42;5.22;5.39;0.788;0.804;8.0;7.7;3493.1;3193.9
43;5.38;5.40;0.796;0.804;7.7;7.7;3350.6;3186.6
44;5.23;5.42;0.795;0.805;8.0;7.7;3366.1;3179.6
45;5.48;5.43;0.807;0.805;7.6;7.7;3182.1;3172.9
46;5.30;5.44;0.801;0.805;7.9;7.7;3273.1;3166.6
47;5.43;5.45;0.792;0.806;7.7;7.6;3418.5;3160.4
48;5.48;5.46;0.793;0.806;7.6;7.6;3410.3;3154.6
