#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;199.0;199.0;77954.4;76832.2
2;1.98;1.96;0.488;0.483;100.5;101.6;39878.6;39752.7
3;2.82;2.88;0.636;0.644;70.5;69.2;28339.7;27392.8
4;3.59;3.76;0.711;0.724;55.4;52.9;22567.0;21212.9
5;4.53;4.61;0.768;0.773;43.9;43.2;18124.1;17505.0
6;5.34;5.42;0.801;0.805;37.3;36.7;15541.8;15033.0
7;6.13;6.21;0.824;0.828;32.5;32.1;13737.6;13267.3
8;6.90;6.96;0.842;0.845;28.8;28.6;12308.1;11943.0
9;7.62;7.69;0.855;0.858;26.1;25.9;11279.8;10913.1
10;8.35;8.39;0.867;0.869;23.8;23.7;10381.5;10089.1
11;8.94;9.07;0.874;0.878;22.3;21.9;9813.3;9414.9
12;9.73;9.72;0.883;0.885;20.5;20.5;9088.5;8853.1
13;10.24;10.35;0.888;0.891;19.4;19.2;8765.1;8377.7
14;10.94;10.96;0.894;0.897;18.2;18.1;8257.2;7970.2
15;11.57;11.55;0.899;0.901;17.2;17.2;7849.6;7617.1
16;12.13;12.13;0.902;0.905;16.4;16.4;7620.6;7308.1
17;12.65;12.68;0.906;0.909;15.7;15.7;7293.0;7035.5
18;13.20;13.21;0.909;0.912;15.1;15.1;7104.2;6793.1
19;13.80;13.73;0.912;0.915;14.4;14.5;6826.3;6576.3
20;14.46;14.24;0.917;0.917;13.8;14.0;6484.1;6381.1
21;14.94;14.73;0.918;0.920;13.3;13.5;6376.6;6204.5
22;15.30;15.20;0.919;0.922;13.0;13.1;6346.6;6044.0
23;15.64;15.66;0.922;0.924;12.7;12.7;6083.5;5897.5
24;16.15;16.11;0.923;0.925;12.3;12.4;6018.5;5763.1
25;16.64;16.54;0.926;0.927;12.0;12.0;5789.8;5639.5
26;16.96;16.97;0.927;0.929;11.7;11.7;5719.0;5525.4
27;17.33;17.38;0.926;0.930;11.5;11.5;5738.9;5419.8
28;17.72;17.78;0.928;0.931;11.2;11.2;5586.2;5321.7
29;18.24;18.17;0.931;0.932;10.9;11.0;5341.1;5230.4
30;18.75;18.54;0.933;0.933;10.6;10.7;5244.3;5145.1
31;18.83;18.91;0.933;0.935;10.6;10.5;5228.2;5065.4
32;19.30;19.27;0.933;0.935;10.3;10.3;5209.3;4990.6
33;19.38;19.62;0.931;0.936;10.3;10.1;5394.3;4920.4
34;19.86;19.97;0.934;0.937;10.0;10.0;5126.8;4854.3
35;20.22;20.30;0.937;0.938;9.8;9.8;4905.0;4792.0
36;20.69;20.62;0.938;0.939;9.6;9.6;4835.3;4733.1
37;21.08;20.94;0.937;0.940;9.4;9.5;4925.6;4677.5
38;21.26;21.25;0.938;0.940;9.4;9.4;4836.3;4624.7
39;21.49;21.55;0.935;0.941;9.3;9.2;5057.8;4574.7
40;22.28;21.85;0.940;0.942;8.9;9.1;4679.6;4527.1
41;21.92;22.14;0.937;0.942;9.1;9.0;4884.6;4481.9
42;22.48;22.42;0.942;0.943;8.8;8.9;4555.2;4438.8
43;22.98;22.70;0.942;0.943;8.7;8.8;4518.6;4397.8
44;23.14;22.96;0.942;0.944;8.6;8.7;4489.2;4358.6
45;23.25;23.23;0.943;0.944;8.6;8.6;4447.8;4321.1
46;23.44;23.49;0.941;0.945;8.5;8.5;4578.3;4285.3
47;23.25;23.74;0.944;0.945;8.6;8.4;4381.4;4251.0
48;23.95;23.99;0.944;0.946;8.3;8.3;4357.6;4218.1
