#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;103.3;103.3;41026.8;40351.1
2;1.12;1.08;0.111;0.074;92.4;95.6;36480.5;37407.1
3;1.12;1.11;0.113;0.098;92.4;93.0;36386.3;36425.7
4;1.10;1.13;0.096;0.111;94.3;91.8;37085.4;35935.1
5;1.13;1.14;0.125;0.118;91.2;91.0;35888.8;35640.7
6;1.12;1.14;0.110;0.123;92.7;90.5;36529.5;35444.4
7;1.19;1.15;0.170;0.127;86.5;90.1;34068.8;35304.2
8;1.16;1.15;0.148;0.129;88.8;89.8;34957.0;35199.1
9;1.14;1.15;0.135;0.131;90.3;89.6;35502.9;35117.3
10;1.11;1.16;0.108;0.133;93.0;89.4;36584.0;35051.9
11;1.18;1.16;0.157;0.134;87.8;89.3;34593.6;34998.3
12;1.17;1.16;0.155;0.135;88.0;89.2;34659.3;34953.7
13;1.14;1.16;0.134;0.136;90.3;89.1;35544.1;34916.0
14;1.15;1.16;0.138;0.137;89.8;89.0;35383.4;34883.6
15;1.19;1.16;0.167;0.138;86.7;88.9;34195.6;34855.6
16;1.18;1.16;0.162;0.138;87.4;88.9;34388.9;34831.1
17;1.14;1.16;0.132;0.139;90.6;88.8;35617.3;34809.4
18;1.21;1.16;0.181;0.139;85.5;88.7;33590.8;34790.2
19;1.16;1.17;0.146;0.140;89.3;88.7;35036.2;34772.9
20;1.20;1.17;0.178;0.140;85.9;88.7;33728.3;34757.5
21;1.19;1.17;0.166;0.141;87.1;88.6;34220.1;34743.4
22;1.17;1.17;0.155;0.141;88.3;88.6;34652.6;34730.7
23;1.17;1.17;0.158;0.141;88.1;88.6;34541.1;34719.1
24;1.19;1.17;0.167;0.141;87.0;88.5;34174.1;34708.4
25;1.21;1.17;0.186;0.142;85.1;88.5;33401.1;34698.6
26;1.13;1.17;0.126;0.142;91.4;88.5;35869.6;34689.5
27;1.18;1.17;0.163;0.142;87.5;88.5;34346.5;34681.1
28;1.21;1.17;0.184;0.142;85.3;88.4;33480.1;34673.3
29;1.20;1.17;0.174;0.143;86.2;88.4;33870.6;34666.1
30;1.15;1.17;0.144;0.143;89.5;88.4;35111.7;34659.3
31;1.19;1.17;0.170;0.143;86.8;88.4;34044.9;34653.0
32;1.13;1.17;0.121;0.143;91.8;88.4;36066.6;34647.1
33;1.15;1.17;0.137;0.143;90.2;88.4;35417.4;34641.5
34;1.23;1.17;0.194;0.143;84.3;88.3;33085.3;34636.2
35;1.19;1.17;0.171;0.143;86.7;88.3;34008.9;34631.3
36;1.13;1.17;0.124;0.144;91.6;88.3;35935.2;34626.6
37;1.16;1.17;0.149;0.144;88.8;88.3;34929.5;34622.2
38;1.18;1.17;0.164;0.144;87.5;88.3;34314.9;34618.0
39;1.17;1.17;0.156;0.144;88.2;88.3;34612.1;34614.0
40;1.20;1.17;0.173;0.144;86.1;88.3;33931.1;34610.3
41;1.18;1.17;0.161;0.144;87.8;88.3;34428.6;34606.7
42;1.13;1.17;0.125;0.144;91.6;88.3;35902.6;34603.2
43;1.15;1.17;0.141;0.144;89.8;88.2;35228.3;34600.0
44;1.13;1.17;0.120;0.144;91.8;88.2;36087.6;34596.9
45;1.11;1.17;0.107;0.144;92.8;88.2;36620.5;34593.9
46;1.13;1.17;0.125;0.144;91.4;88.2;35902.7;34591.1
47;1.14;1.17;0.135;0.144;90.4;88.2;35503.1;34588.3
48;1.17;1.17;0.145;0.145;88.7;88.2;35060.0;34585.7
