#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;1419.5;1419.5;562793.2;548410.0
2;1.92;1.87;0.467;0.460;740.0;757.9;299765.8;296506.7
3;2.71;2.64;0.616;0.613;523.3;537.4;216086.2;212538.9
4;3.62;3.32;0.706;0.690;392.5;427.2;165723.0;170555.1
5;4.40;3.93;0.753;0.736;322.7;361.0;138790.8;145364.7
6;4.28;4.48;0.746;0.766;331.3;316.9;143089.7;128571.2
7;5.60;4.97;0.800;0.788;253.6;285.4;112474.8;116575.8
8;4.58;5.42;0.759;0.805;309.8;261.8;135711.8;107579.2
9;6.04;5.83;0.812;0.817;234.8;243.4;105959.4;100581.9
10;5.30;6.21;0.786;0.828;268.0;228.7;120299.6;94984.1
11;5.92;6.55;0.805;0.836;239.6;216.7;109630.5;90404.0
12;6.71;6.87;0.825;0.843;211.5;206.6;98593.3;86587.3
13;7.53;7.16;0.840;0.849;188.6;198.2;89938.7;83357.8
14;7.11;7.44;0.831;0.854;199.6;190.9;94870.0;80589.6
15;7.91;7.69;0.845;0.858;179.4;184.6;86981.9;78190.5
16;8.29;7.93;0.851;0.862;171.2;179.1;84122.0;76091.3
17;7.93;8.15;0.844;0.866;179.0;174.2;87630.1;74239.1
18;8.32;8.35;0.850;0.869;170.6;169.9;84591.5;72592.7
19;8.67;8.55;0.854;0.871;163.6;166.0;82073.9;71119.5
20;8.43;8.73;0.849;0.874;168.4;162.5;84791.3;69793.7
21;8.91;8.91;0.856;0.876;159.3;159.4;81144.8;68594.2
22;9.31;9.07;0.860;0.878;152.5;156.5;78836.4;67503.7
23;8.85;9.22;0.853;0.880;160.3;153.9;82530.4;66508.0
24;9.12;9.37;0.857;0.881;155.6;151.5;80753.5;65595.3
25;9.84;9.51;0.864;0.883;144.3;149.3;76480.1;64755.7
26;10.02;9.64;0.865;0.884;141.7;147.3;75833.6;63980.6
27;8.97;9.76;0.852;0.886;158.2;145.4;83050.2;63262.9
28;9.68;9.88;0.860;0.887;146.6;143.6;78535.6;62596.5
29;9.58;10.00;0.859;0.888;148.2;142.0;79409.3;61976.0
30;10.48;10.10;0.868;0.889;135.5;140.5;74043.9;61397.0
31;10.51;10.21;0.867;0.890;135.1;139.1;74856.0;60855.2
32;10.13;10.31;0.863;0.891;140.2;137.7;77315.4;60347.4
33;9.79;10.40;0.859;0.892;145.1;136.5;79494.5;59870.3
34;10.99;10.49;0.870;0.893;129.2;135.3;72893.7;59421.2
35;11.27;10.58;0.872;0.893;126.0;134.2;72047.7;58997.9
36;11.31;10.66;0.872;0.894;125.5;133.1;72041.5;58598.0
37;11.57;10.74;0.873;0.895;122.7;132.1;71558.5;58219.8
38;11.06;10.82;0.868;0.895;128.3;131.2;74292.1;57861.5
39;11.41;10.89;0.870;0.896;124.4;130.3;73105.9;57521.5
40;11.40;10.96;0.869;0.897;124.5;129.5;73598.8;57198.6
41;11.32;11.03;0.868;0.897;125.3;128.7;74562.6;56891.4
42;11.35;11.10;0.868;0.898;125.0;127.9;74289.3;56598.8
43;11.34;11.16;0.867;0.898;125.2;127.2;74725.7;56319.8
44;10.80;11.22;0.861;0.899;131.5;126.5;77954.2;56053.6
45;11.11;11.28;0.863;0.899;127.8;125.8;77143.4;55799.1
46;10.89;11.34;0.860;0.900;130.4;125.2;78765.8;55555.7
47;11.08;11.40;0.862;0.900;128.1;124.5;77878.8;55322.7
48;10.15;11.45;0.850;0.901;139.9;124.0;84244.3;55099.4
