#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;224.3;224.3;88067.0;87410.7
2;1.91;1.30;0.471;0.227;117.4;172.7;46589.4;74634.5
3;2.69;1.60;0.619;0.369;83.5;140.4;33558.1;70375.8
4;3.41;1.90;0.696;0.467;65.9;118.2;26752.9;68246.4
5;4.02;2.20;0.740;0.537;55.9;102.1;22903.3;66968.8
6;4.61;2.50;0.771;0.591;48.7;89.9;20124.7;66117.0
7;5.15;2.79;0.794;0.634;43.5;80.3;18124.0;65508.6
8;5.58;3.09;0.809;0.668;40.2;72.5;16862.2;65052.3
9;6.01;3.39;0.821;0.696;37.3;66.1;15746.8;64697.4
10;6.41;3.69;0.832;0.719;35.0;60.8;14759.7;64413.5
11;6.85;3.99;0.842;0.739;32.8;56.2;13952.6;64181.2
12;7.14;4.29;0.847;0.757;31.4;52.3;13498.7;63987.7
13;7.47;4.59;0.853;0.772;30.1;48.9;12944.5;63823.9
14;7.73;4.89;0.858;0.785;29.0;45.9;12535.9;63683.5
15;7.99;5.19;0.862;0.796;28.1;43.2;12153.5;63561.8
16;8.28;5.49;0.866;0.807;27.1;40.9;11804.4;63455.3
17;8.57;5.79;0.870;0.816;26.2;38.8;11449.8;63361.4
18;8.75;6.09;0.873;0.825;25.6;36.9;11226.0;63277.9
19;8.66;6.38;0.871;0.832;25.9;35.1;11350.3;63203.2
20;9.15;6.68;0.877;0.839;24.5;33.6;10846.7;63135.9
21;9.33;6.98;0.879;0.845;24.1;32.1;10655.3;63075.1
22;9.49;7.28;0.881;0.851;23.6;30.8;10485.2;63019.8
23;9.67;7.58;0.883;0.857;23.2;29.6;10346.5;62969.3
24;9.86;7.88;0.885;0.861;22.7;28.5;10144.9;62923.0
25;9.96;8.18;0.885;0.866;22.5;27.4;10118.9;62880.4
26;10.18;8.48;0.888;0.870;22.0;26.5;9870.8;62841.1
27;10.25;8.78;0.888;0.874;21.9;25.6;9842.1;62804.7
28;10.38;9.08;0.890;0.878;21.6;24.7;9716.8;62770.9
29;10.48;9.38;0.890;0.881;21.4;23.9;9696.0;62739.4
30;10.57;9.67;0.891;0.885;21.2;23.2;9606.0;62710.0
31;10.79;9.97;0.894;0.888;20.8;22.5;9350.2;62682.6
32;10.74;10.27;0.893;0.891;20.9;21.8;9457.8;62656.8
33;10.95;10.57;0.894;0.893;20.5;21.2;9350.7;62632.6
34;10.97;10.87;0.894;0.896;20.4;20.6;9347.0;62609.8
35;10.99;11.17;0.894;0.898;20.4;20.1;9323.5;62588.4
36;11.19;11.47;0.896;0.901;20.0;19.6;9158.5;62568.1
37;11.25;11.77;0.897;0.903;19.9;19.1;9107.8;62548.9
38;11.35;12.07;0.898;0.905;19.8;18.6;9012.8;62530.7
39;11.45;12.37;0.898;0.907;19.6;18.1;8952.9;62513.5
40;11.47;12.67;0.899;0.909;19.6;17.7;8934.4;62497.1
41;11.45;12.97;0.898;0.911;19.6;17.3;8953.8;62481.5
42;11.69;13.26;0.899;0.912;19.2;16.9;8863.5;62466.7
43;11.80;13.56;0.900;0.914;19.0;16.5;8763.3;62452.5
44;11.67;13.86;0.899;0.916;19.2;16.2;8850.9;62439.0
45;11.86;14.16;0.901;0.917;18.9;15.8;8722.7;62426.1
46;11.88;14.46;0.901;0.918;18.9;15.5;8689.9;62413.8
47;11.69;14.76;0.899;0.920;19.2;15.2;8852.8;62402.0
48;11.84;15.06;0.901;0.921;18.9;14.9;8745.3;62390.6
