#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;1921.6;1921.6;758887.7;745290.1
2;1.93;1.64;0.472;0.387;996.9;1168.8;400831.1;509655.1
3;2.88;2.29;0.640;0.555;666.5;839.8;273410.7;431110.0
4;3.82;2.93;0.722;0.650;503.5;655.3;210707.8;391837.5
5;4.74;3.58;0.772;0.711;405.6;537.3;172831.2;368274.0
6;5.62;4.22;0.805;0.753;341.8;455.3;148095.5;352565.0
7;6.49;4.86;0.828;0.784;296.3;395.0;130615.2;341344.3
8;6.94;5.51;0.837;0.808;277.0;348.8;123351.8;332928.8
9;7.70;6.15;0.851;0.826;249.7;312.3;112812.9;326383.3
10;8.46;6.80;0.863;0.842;227.2;282.7;104050.4;321147.0
11;9.14;7.44;0.871;0.854;210.1;258.3;97519.8;316862.7
12;9.89;8.08;0.879;0.865;194.3;237.7;91461.7;313292.5
13;10.63;8.73;0.886;0.874;180.8;220.1;86245.6;310271.5
14;11.42;9.37;0.893;0.881;168.3;205.0;81433.9;307682.1
15;12.38;10.02;0.899;0.888;155.2;191.8;76319.4;305438.0
16;13.67;10.66;0.907;0.894;140.6;180.2;70459.9;303474.4
17;13.80;11.31;0.908;0.899;139.3;170.0;70115.9;301741.8
18;14.52;11.95;0.911;0.904;132.3;160.8;67680.4;300201.7
19;14.66;12.59;0.912;0.908;131.1;152.6;67116.8;298823.7
20;15.89;13.24;0.917;0.912;121.0;145.2;63315.3;297583.5
21;16.41;13.88;0.919;0.916;117.1;138.4;61748.7;296461.4
22;15.75;14.53;0.916;0.919;122.0;132.3;63871.2;295441.4
23;18.10;15.17;0.924;0.922;106.2;126.7;57486.5;294510.0
24;19.00;15.81;0.927;0.924;101.1;121.5;55527.8;293656.2
25;18.20;16.46;0.924;0.927;105.6;116.8;57914.4;292870.8
26;18.13;17.10;0.924;0.929;106.0;112.4;57878.9;292145.8
27;20.88;17.75;0.931;0.931;92.0;108.3;52275.7;291474.4
28;19.42;18.39;0.927;0.933;99.0;104.5;55490.9;290851.1
29;20.52;19.03;0.930;0.935;93.6;101.0;53325.1;290270.7
30;19.69;19.68;0.928;0.937;97.6;97.7;54863.5;289729.0
31;21.19;20.32;0.931;0.938;90.7;94.6;52077.9;289222.3
32;23.81;20.97;0.936;0.940;80.7;91.7;48483.1;288747.2
33;23.70;21.61;0.936;0.941;81.1;88.9;48783.0;288300.9
34;23.33;22.25;0.935;0.942;82.3;86.3;49316.0;287880.9
35;22.77;22.90;0.934;0.944;84.4;83.9;50320.6;287484.9
36;24.24;23.54;0.937;0.945;79.3;81.6;48100.3;287110.8
37;23.23;24.19;0.935;0.946;82.7;79.4;49649.1;286757.0
38;24.02;24.83;0.936;0.947;80.0;77.4;48747.6;286421.8
39;23.72;25.47;0.935;0.948;81.0;75.4;49162.0;286103.8
40;26.35;26.12;0.939;0.949;72.9;73.6;46244.7;285801.7
41;27.93;26.76;0.941;0.950;68.8;71.8;44483.9;285514.4
42;27.16;27.41;0.940;0.951;70.7;70.1;45443.0;285240.7
43;27.33;28.05;0.940;0.952;70.3;68.5;45440.6;284979.8
44;27.01;28.69;0.940;0.952;71.1;67.0;45782.1;284730.7
45;24.82;29.34;0.936;0.953;77.4;65.5;48831.1;284492.7
46;26.41;29.98;0.938;0.954;72.8;64.1;46713.9;284265.0
47;25.50;30.63;0.937;0.954;75.4;62.7;48124.1;284047.0
48;25.25;31.27;0.936;0.955;76.1;61.4;48235.6;283838.1
