#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;528.8;528.8;206848.2;204224.3
2;2.00;1.96;0.494;0.484;264.3;269.7;104750.3;107470.6
3;3.00;2.92;0.658;0.649;176.2;181.0;70686.4;75219.4
4;4.01;3.88;0.741;0.733;131.9;136.2;53578.2;59093.8
5;5.01;4.84;0.790;0.783;105.5;109.2;43418.5;49418.4
6;5.99;5.80;0.822;0.817;88.2;91.1;36730.9;42968.2
7;7.00;6.77;0.846;0.841;75.5;78.2;31785.4;38360.8
8;8.01;7.73;0.864;0.859;66.0;68.4;28102.9;34905.3
9;9.01;8.69;0.878;0.873;58.7;60.9;25262.4;32217.7
10;10.01;9.65;0.889;0.884;52.9;54.8;23016.7;30067.7
11;11.00;10.61;0.898;0.894;48.1;49.8;21163.1;28308.5
12;12.00;11.57;0.905;0.901;44.1;45.7;19615.1;26842.5
13;13.00;12.53;0.912;0.908;40.7;42.2;18301.5;25602.1
14;13.99;13.49;0.917;0.914;37.8;39.2;17166.3;24538.9
15;15.00;14.45;0.922;0.918;35.3;36.6;16190.1;23617.4
16;15.96;15.41;0.926;0.923;33.1;34.3;15373.5;22811.1
17;16.97;16.38;0.929;0.926;31.2;32.3;14623.3;22099.7
18;17.94;17.34;0.932;0.930;29.5;30.5;13981.0;21467.3
19;18.95;18.30;0.935;0.933;27.9;28.9;13380.8;20901.5
20;19.94;19.26;0.938;0.935;26.5;27.5;12848.7;20392.3
21;20.93;20.22;0.940;0.938;25.3;26.2;12367.4;19931.6
22;21.90;21.18;0.942;0.940;24.1;25.0;11953.8;19512.7
23;22.90;22.14;0.944;0.942;23.1;23.9;11551.1;19130.3
24;23.84;23.10;0.946;0.944;22.2;22.9;11222.1;18779.7
25;24.80;24.06;0.947;0.946;21.3;22.0;10868.7;18457.2
26;25.81;25.02;0.949;0.947;20.5;21.1;10542.0;18159.5
27;26.76;25.99;0.950;0.949;19.8;20.3;10271.9;17883.9
28;27.76;26.95;0.952;0.950;19.1;19.6;10007.2;17627.9
29;28.65;27.91;0.953;0.951;18.5;18.9;9781.8;17389.6
30;29.54;28.87;0.954;0.953;17.9;18.3;9562.5;17167.2
31;30.58;29.83;0.955;0.954;17.3;17.7;9328.4;16959.1
32;31.61;30.79;0.956;0.955;16.7;17.2;9109.1;16764.0
33;32.44;31.75;0.957;0.956;16.3;16.7;8961.7;16580.8
34;33.30;32.71;0.958;0.957;15.9;16.2;8788.6;16408.3
35;34.09;33.67;0.958;0.957;15.5;15.7;8638.2;16245.7
36;34.93;34.63;0.959;0.958;15.1;15.3;8506.7;16092.1
37;35.78;35.60;0.959;0.959;14.8;14.9;8406.9;15946.9
38;36.47;36.56;0.960;0.960;14.5;14.5;8343.3;15809.2
39;37.29;37.52;0.960;0.960;14.2;14.1;8200.3;15678.7
40;38.04;38.48;0.961;0.961;13.9;13.7;8099.8;15554.6
41;38.85;39.44;0.961;0.962;13.6;13.4;8004.3;15436.6
42;39.73;40.40;0.962;0.962;13.3;13.1;7891.1;15324.2
43;40.61;41.36;0.962;0.963;13.0;12.8;7785.0;15217.1
44;41.31;42.32;0.963;0.963;12.8;12.5;7724.3;15114.8
45;42.07;43.28;0.963;0.964;12.6;12.2;7645.7;15017.1
46;43.10;44.24;0.964;0.964;12.3;12.0;7531.6;14923.6
47;43.74;45.21;0.964;0.965;12.1;11.7;7475.0;14834.1
48;44.70;46.17;0.964;0.965;11.8;11.5;7376.4;14748.3
