#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;41.6;41.6;16455.9;16261.8
2;1.50;1.13;0.327;0.114;27.8;36.8;11070.7;15230.3
3;2.12;1.26;0.522;0.204;19.6;33.0;7872.2;14886.4
4;2.18;1.39;0.534;0.277;19.1;29.9;7668.7;14714.5
5;2.48;1.52;0.586;0.338;16.8;27.4;6808.8;14611.3
6;2.85;1.65;0.635;0.389;14.6;25.2;5999.1;14542.6
7;3.17;1.78;0.672;0.433;13.1;23.4;5401.1;14493.4
8;3.51;1.91;0.704;0.470;11.9;21.8;4865.2;14456.6
9;3.54;2.04;0.704;0.503;11.8;20.4;4875.5;14427.9
10;3.71;2.17;0.716;0.532;11.2;19.2;4670.2;14405.0
11;3.99;2.30;0.738;0.558;10.4;18.1;4312.7;14386.3
12;4.01;2.43;0.737;0.581;10.4;17.1;4330.8;14370.6
13;4.15;2.56;0.744;0.601;10.0;16.3;4212.5;14357.4
14;4.42;2.69;0.762;0.620;9.4;15.5;3917.6;14346.1
15;4.41;2.82;0.760;0.637;9.4;14.8;3941.3;14336.3
16;4.64;2.95;0.771;0.652;9.0;14.1;3776.4;14327.7
17;4.78;3.08;0.779;0.667;8.7;13.5;3634.6;14320.1
18;4.47;3.21;0.765;0.679;9.3;13.0;3863.9;14313.3
19;4.89;3.34;0.786;0.691;8.5;12.5;3524.0;14307.3
20;5.03;3.47;0.789;0.703;8.3;12.0;3465.0;14301.9
21;4.90;3.60;0.784;0.713;8.5;11.6;3547.5;14297.0
22;4.89;3.73;0.791;0.722;8.5;11.2;3434.1;14292.5
23;5.17;3.86;0.798;0.731;8.1;10.8;3323.5;14288.4
24;5.19;3.99;0.792;0.740;8.0;10.4;3425.8;14284.7
25;5.07;4.12;0.794;0.747;8.2;10.1;3394.7;14281.2
26;5.42;4.25;0.799;0.755;7.7;9.8;3310.7;14278.1
27;5.44;4.38;0.799;0.762;7.7;9.5;3315.4;14275.1
28;5.14;4.51;0.789;0.768;8.1;9.2;3470.2;14272.4
29;5.44;4.64;0.806;0.774;7.7;9.0;3196.9;14269.9
30;5.31;4.77;0.801;0.780;7.8;8.7;3280.6;14267.5
31;5.39;4.90;0.807;0.785;7.7;8.5;3181.4;14265.3
32;5.42;5.03;0.809;0.791;7.7;8.3;3145.0;14263.2
33;5.27;5.16;0.791;0.796;7.9;8.1;3445.8;14261.2
34;5.17;5.29;0.788;0.800;8.1;7.9;3491.6;14259.4
35;5.32;5.42;0.797;0.805;7.8;7.7;3339.0;14257.7
36;5.39;5.55;0.805;0.809;7.7;7.5;3212.4;14256.0
37;5.41;5.68;0.807;0.813;7.7;7.3;3174.2;14254.5
38;5.31;5.81;0.792;0.817;7.8;7.2;3429.2;14253.0
39;5.23;5.94;0.789;0.821;8.0;7.0;3472.3;14251.6
40;5.43;6.07;0.799;0.824;7.7;6.9;3313.6;14250.3
41;5.14;6.20;0.795;0.828;8.1;6.7;3380.0;14249.0
42;5.22;6.33;0.788;0.831;8.0;6.6;3493.1;14247.8
43;5.38;6.46;0.796;0.834;7.7;6.4;3350.6;14246.7
44;5.23;6.59;0.795;0.837;8.0;6.3;3366.1;14245.6
45;5.48;6.72;0.807;0.840;7.6;6.2;3182.1;14244.6
46;5.30;6.86;0.801;0.843;7.9;6.1;3273.1;14243.6
47;5.43;6.99;0.792;0.845;7.7;6.0;3418.5;14242.6
48;5.48;7.12;0.793;0.848;7.6;5.9;3410.3;14241.7
