#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;199.0;199.0;77954.4;77261.7
2;1.98;1.56;0.488;0.356;100.5;127.2;39878.6;55872.5
3;2.82;2.13;0.636;0.523;70.5;93.5;28339.7;48742.8
4;3.59;2.69;0.711;0.620;55.4;73.9;22567.0;45178.0
5;4.53;3.26;0.768;0.684;43.9;61.1;18124.1;43039.1
6;5.34;3.82;0.801;0.729;37.3;52.1;15541.8;41613.1
7;6.13;4.39;0.824;0.762;32.5;45.4;13737.6;40594.6
8;6.90;4.95;0.842;0.787;28.8;40.2;12308.1;39830.7
9;7.62;5.52;0.855;0.808;26.1;36.1;11279.8;39236.6
10;8.35;6.08;0.867;0.824;23.8;32.7;10381.5;38761.2
11;8.94;6.65;0.874;0.838;22.3;29.9;9813.3;38372.3
12;9.73;7.21;0.883;0.850;20.5;27.6;9088.5;38048.3
13;10.24;7.77;0.888;0.860;19.4;25.6;8765.1;37774.1
14;10.94;8.34;0.894;0.868;18.2;23.9;8257.2;37539.0
15;11.57;8.90;0.899;0.876;17.2;22.3;7849.6;37335.3
16;12.13;9.47;0.902;0.882;16.4;21.0;7620.6;37157.1
17;12.65;10.03;0.906;0.888;15.7;19.8;7293.0;36999.8
18;13.20;10.60;0.909;0.894;15.1;18.8;7104.2;36860.0
19;13.80;11.16;0.912;0.898;14.4;17.8;6826.3;36734.9
20;14.46;11.73;0.917;0.903;13.8;17.0;6484.1;36622.3
21;14.94;12.29;0.918;0.906;13.3;16.2;6376.6;36520.5
22;15.30;12.86;0.919;0.910;13.0;15.5;6346.6;36427.9
23;15.64;13.42;0.922;0.913;12.7;14.8;6083.5;36343.3
24;16.15;13.98;0.923;0.916;12.3;14.2;6018.5;36265.8
25;16.64;14.55;0.926;0.919;12.0;13.7;5789.8;36194.5
26;16.96;15.11;0.927;0.921;11.7;13.2;5719.0;36128.7
27;17.33;15.68;0.926;0.924;11.5;12.7;5738.9;36067.8
28;17.72;16.24;0.928;0.926;11.2;12.3;5586.2;36011.2
29;18.24;16.81;0.931;0.928;10.9;11.8;5341.1;35958.5
30;18.75;17.37;0.933;0.930;10.6;11.5;5244.3;35909.4
31;18.83;17.94;0.933;0.932;10.6;11.1;5228.2;35863.4
32;19.30;18.50;0.933;0.933;10.3;10.8;5209.3;35820.2
33;19.38;19.07;0.931;0.935;10.3;10.4;5394.3;35779.7
34;19.86;19.63;0.934;0.936;10.0;10.1;5126.8;35741.6
35;20.22;20.19;0.937;0.938;9.8;9.9;4905.0;35705.7
36;20.69;20.76;0.938;0.939;9.6;9.6;4835.3;35671.7
37;21.08;21.32;0.937;0.940;9.4;9.3;4925.6;35639.6
38;21.26;21.89;0.938;0.942;9.4;9.1;4836.3;35609.2
39;21.49;22.45;0.935;0.943;9.3;8.9;5057.8;35580.3
40;22.28;23.02;0.940;0.944;8.9;8.6;4679.6;35552.9
41;21.92;23.58;0.937;0.945;9.1;8.4;4884.6;35526.8
42;22.48;24.15;0.942;0.946;8.8;8.2;4555.2;35501.9
43;22.98;24.71;0.942;0.947;8.7;8.1;4518.6;35478.3
44;23.14;25.28;0.942;0.948;8.6;7.9;4489.2;35455.6
45;23.25;25.84;0.943;0.948;8.6;7.7;4447.8;35434.0
46;23.44;26.41;0.941;0.949;8.5;7.5;4578.3;35413.4
47;23.25;26.97;0.944;0.950;8.6;7.4;4381.4;35393.6
48;23.95;27.53;0.944;0.951;8.3;7.2;4357.6;35374.6
