#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;103.3;103.3;41026.8;40428.9
2;1.12;1.01;0.111;0.005;92.4;102.8;36480.5;40326.5
3;1.12;1.01;0.113;0.010;92.4;102.3;36386.3;40292.4
4;1.10;1.02;0.096;0.015;94.3;101.8;37085.4;40275.4
5;1.13;1.02;0.125;0.020;91.2;101.2;35888.8;40265.1
6;1.12;1.03;0.110;0.025;92.7;100.7;36529.5;40258.3
7;1.19;1.03;0.170;0.030;86.5;100.2;34068.8;40253.4
8;1.16;1.04;0.148;0.035;88.8;99.7;34957.0;40249.8
9;1.14;1.04;0.135;0.039;90.3;99.2;35502.9;40246.9
10;1.11;1.05;0.108;0.044;93.0;98.7;36584.0;40244.7
11;1.18;1.05;0.157;0.049;87.8;98.2;34593.6;40242.8
12;1.17;1.06;0.155;0.053;88.0;97.8;34659.3;40241.2
13;1.14;1.06;0.134;0.058;90.3;97.3;35544.1;40239.9
14;1.15;1.07;0.138;0.062;89.8;96.8;35383.4;40238.8
15;1.19;1.07;0.167;0.067;86.7;96.3;34195.6;40237.8
16;1.18;1.08;0.162;0.071;87.4;95.9;34388.9;40237.0
17;1.14;1.08;0.132;0.076;90.6;95.4;35617.3;40236.2
18;1.21;1.09;0.181;0.080;85.5;95.0;33590.8;40235.6
19;1.16;1.09;0.146;0.084;89.3;94.5;35036.2;40235.0
20;1.20;1.10;0.178;0.089;85.9;94.1;33728.3;40234.4
21;1.19;1.10;0.166;0.093;87.1;93.6;34220.1;40233.9
22;1.17;1.11;0.155;0.097;88.3;93.2;34652.6;40233.5
23;1.17;1.11;0.158;0.101;88.1;92.7;34541.1;40233.1
24;1.19;1.12;0.167;0.105;87.0;92.3;34174.1;40232.7
25;1.21;1.12;0.186;0.109;85.1;91.9;33401.1;40232.4
26;1.13;1.13;0.126;0.114;91.4;91.5;35869.6;40232.1
27;1.18;1.14;0.163;0.118;87.5;91.0;34346.5;40231.8
28;1.21;1.14;0.184;0.121;85.3;90.6;33480.1;40231.5
29;1.20;1.15;0.174;0.125;86.2;90.2;33870.6;40231.2
30;1.15;1.15;0.144;0.129;89.5;89.8;35111.7;40231.0
31;1.19;1.16;0.170;0.133;86.8;89.4;34044.9;40230.8
32;1.13;1.16;0.121;0.137;91.8;89.0;36066.6;40230.6
33;1.15;1.17;0.137;0.141;90.2;88.6;35417.4;40230.4
34;1.23;1.17;0.194;0.145;84.3;88.2;33085.3;40230.2
35;1.19;1.18;0.171;0.148;86.7;87.8;34008.9;40230.0
36;1.13;1.18;0.124;0.152;91.6;87.4;35935.2;40229.9
37;1.16;1.19;0.149;0.156;88.8;87.1;34929.5;40229.7
38;1.18;1.19;0.164;0.159;87.5;86.7;34314.9;40229.6
39;1.17;1.20;0.156;0.163;88.2;86.3;34612.1;40229.4
40;1.20;1.20;0.173;0.166;86.1;85.9;33931.1;40229.3
41;1.18;1.21;0.161;0.170;87.8;85.6;34428.6;40229.2
42;1.13;1.21;0.125;0.173;91.6;85.2;35902.6;40229.1
43;1.15;1.22;0.141;0.177;89.8;84.8;35228.3;40229.0
44;1.13;1.22;0.120;0.180;91.8;84.5;36087.6;40228.8
45;1.11;1.23;0.107;0.184;92.8;84.1;36620.5;40228.7
46;1.13;1.23;0.125;0.187;91.4;83.8;35902.7;40228.6
47;1.14;1.24;0.135;0.190;90.4;83.4;35503.1;40228.5
48;1.17;1.24;0.145;0.194;88.7;83.1;35060.0;40228.5
