#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;1419.5;1419.5;562793.2;553198.4
2;1.92;1.28;0.467;0.219;740.0;1104.9;299765.8;476249.0
3;2.71;1.57;0.616;0.358;523.3;904.4;216086.2;450599.2
4;3.62;1.85;0.706;0.455;392.5;765.5;165723.0;437774.2
5;4.40;2.14;0.753;0.525;322.7;663.6;138790.8;430079.3
6;4.28;2.42;0.746;0.580;331.3;585.7;143089.7;424949.3
7;5.60;2.71;0.800;0.622;253.6;524.1;112474.8;421285.1
8;4.58;2.99;0.759;0.657;309.8;474.2;135711.8;418536.9
9;6.04;3.28;0.812;0.686;234.8;433.0;105959.4;416399.4
10;5.30;3.56;0.786;0.710;268.0;398.4;120299.6;414689.4
11;5.92;3.85;0.805;0.730;239.6;368.9;109630.5;413290.3
12;6.71;4.13;0.825;0.748;211.5;343.5;98593.3;412124.4
13;7.53;4.42;0.840;0.763;188.6;321.4;89938.7;411137.9
14;7.11;4.70;0.831;0.777;199.6;301.9;94870.0;410292.3
15;7.91;4.99;0.845;0.789;179.4;284.7;86981.9;409559.5
16;8.29;5.27;0.851;0.799;171.2;269.3;84122.0;408918.2
17;7.93;5.56;0.844;0.809;179.0;255.5;87630.1;408352.4
18;8.32;5.84;0.850;0.818;170.6;243.0;84591.5;407849.5
19;8.67;6.13;0.854;0.826;163.6;231.7;82073.9;407399.5
20;8.43;6.41;0.849;0.833;168.4;221.4;84791.3;406994.5
21;8.91;6.69;0.856;0.839;159.3;212.0;81144.8;406628.0
22;9.31;6.98;0.860;0.845;152.5;203.4;78836.4;406294.9
23;8.85;7.26;0.853;0.851;160.3;195.4;82530.4;405990.8
24;9.12;7.55;0.857;0.856;155.6;188.0;80753.5;405712.0
25;9.84;7.83;0.864;0.861;144.3;181.2;76480.1;405455.5
26;10.02;8.12;0.865;0.865;141.7;174.8;75833.6;405218.7
27;8.97;8.40;0.852;0.869;158.2;168.9;83050.2;404999.5
28;9.68;8.69;0.860;0.873;146.6;163.4;78535.6;404795.9
29;9.58;8.97;0.859;0.877;148.2;158.2;79409.3;404606.4
30;10.48;9.26;0.868;0.880;135.5;153.3;74043.9;404429.5
31;10.51;9.54;0.867;0.883;135.1;148.8;74856.0;404264.0
32;10.13;9.83;0.863;0.886;140.2;144.5;77315.4;404108.9
33;9.79;10.11;0.859;0.889;145.1;140.4;79494.5;403963.1
34;10.99;10.40;0.870;0.892;129.2;136.5;72893.7;403826.0
35;11.27;10.68;0.872;0.894;126.0;132.9;72047.7;403696.6
36;11.31;10.97;0.872;0.897;125.5;129.4;72041.5;403574.5
37;11.57;11.25;0.873;0.899;122.7;126.2;71558.5;403459.0
38;11.06;11.53;0.868;0.901;128.3;123.1;74292.1;403349.5
39;11.41;11.82;0.870;0.903;124.4;120.1;73105.9;403245.7
40;11.40;12.10;0.869;0.905;124.5;117.3;73598.8;403147.0
41;11.32;12.39;0.868;0.907;125.3;114.6;74562.6;403053.2
42;11.35;12.67;0.868;0.909;125.0;112.0;74289.3;402963.8
43;11.34;12.96;0.867;0.911;125.2;109.5;74725.7;402878.6
44;10.80;13.24;0.861;0.912;131.5;107.2;77954.2;402797.2
45;11.11;13.53;0.863;0.914;127.8;104.9;77143.4;402719.5
46;10.89;13.81;0.860;0.915;130.4;102.8;78765.8;402645.2
47;11.08;14.10;0.862;0.917;128.1;100.7;77878.8;402574.0
48;10.15;14.38;0.850;0.918;139.9;98.7;84244.3;402505.8
