#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;44.8;44.8;5600.9;5648.1
2;1.87;1.87;0.465;0.460;24.0;24.0;2998.4;3054.4
3;2.63;2.62;0.618;0.613;17.1;17.1;2139.8;2189.8
4;3.29;3.29;0.692;0.689;13.6;13.6;1725.4;1757.5
5;3.89;3.88;0.737;0.735;11.5;11.5;1473.6;1498.1
6;4.42;4.41;0.768;0.766;10.1;10.2;1298.8;1325.2
7;4.90;4.89;0.791;0.788;9.1;9.2;1168.7;1201.7
8;5.32;5.32;0.809;0.804;8.4;8.4;1071.9;1109.0
9;5.72;5.71;0.821;0.817;7.8;7.8;1002.2;1037.0
10;6.08;6.06;0.833;0.827;7.4;7.4;934.9;979.4
11;6.41;6.39;0.840;0.836;7.0;7.0;896.8;932.2
12;6.70;6.69;0.846;0.843;6.7;6.7;859.8;892.9
13;6.99;6.97;0.854;0.848;6.4;6.4;820.0;859.7
14;7.24;7.23;0.856;0.854;6.2;6.2;804.2;831.1
15;7.48;7.46;0.860;0.858;6.0;6.0;783.3;806.4
16;7.68;7.69;0.865;0.862;5.8;5.8;758.4;784.8
17;7.90;7.89;0.866;0.865;5.7;5.7;748.0;765.8
18;8.11;8.09;0.874;0.868;5.5;5.5;704.0;748.8
19;8.27;8.27;0.874;0.871;5.4;5.4;708.3;733.6
20;8.43;8.44;0.878;0.873;5.3;5.3;686.1;720.0
21;8.59;8.60;0.878;0.875;5.2;5.2;682.0;707.6
22;8.76;8.75;0.881;0.877;5.1;5.1;668.4;696.4
23;8.89;8.89;0.883;0.879;5.0;5.0;656.1;686.2
24;9.03;9.03;0.883;0.881;5.0;5.0;654.7;676.8
25;9.19;9.16;0.886;0.882;4.9;4.9;638.8;668.1
26;9.29;9.28;0.887;0.884;4.8;4.8;631.2;660.1
27;9.43;9.39;0.887;0.885;4.8;4.8;633.6;652.7
28;9.53;9.50;0.890;0.886;4.7;4.7;618.1;645.9
29;9.60;9.61;0.890;0.887;4.7;4.7;616.5;639.5
30;9.74;9.71;0.892;0.889;4.6;4.6;603.3;633.5
31;9.80;9.80;0.892;0.890;4.6;4.6;606.7;628.0
32;9.88;9.89;0.891;0.890;4.5;4.5;611.1;622.7
33;9.99;9.98;0.895;0.891;4.5;4.5;585.5;617.8
34;10.04;10.06;0.896;0.892;4.5;4.5;581.5;613.2
35;10.13;10.14;0.896;0.893;4.4;4.4;585.2;608.8
36;10.21;10.22;0.898;0.894;4.4;4.4;568.8;604.7
37;10.25;10.29;0.897;0.894;4.4;4.4;577.8;600.8
38;10.34;10.36;0.898;0.895;4.3;4.3;571.1;597.1
39;10.41;10.43;0.900;0.896;4.3;4.3;557.7;593.6
40;10.49;10.49;0.901;0.896;4.3;4.3;556.5;590.3
41;10.51;10.56;0.902;0.897;4.3;4.2;548.5;587.1
42;10.61;10.62;0.902;0.897;4.2;4.2;547.6;584.1
43;10.67;10.67;0.903;0.898;4.2;4.2;545.5;581.3
44;10.73;10.73;0.902;0.898;4.2;4.2;549.3;578.5
45;10.77;10.78;0.902;0.899;4.2;4.2;548.2;575.9
46;10.83;10.84;0.904;0.899;4.1;4.1;537.1;573.4
47;10.89;10.89;0.902;0.900;4.1;4.1;550.2;571.0
48;10.86;10.94;0.904;0.900;4.1;4.1;536.8;568.7
