#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;5440.1;5440.1;692608.3;685494.9
2;1.98;1.99;0.491;0.492;2743.3;2737.7;352334.8;348231.3
3;2.88;2.96;0.648;0.656;1887.2;1836.9;244018.6;235810.1
4;3.87;3.92;0.733;0.738;1406.7;1386.5;184778.0;179599.5
5;4.81;4.87;0.783;0.787;1130.0;1116.3;150372.8;145873.1
6;5.69;5.81;0.814;0.820;956.7;936.2;128966.0;123388.9
7;6.62;6.74;0.839;0.844;821.3;807.5;111303.3;107328.7
8;7.59;7.65;0.858;0.861;717.2;711.0;98497.8;95283.6
9;8.41;8.56;0.870;0.875;646.5;635.9;90352.4;85915.2
10;9.44;9.45;0.882;0.886;576.5;575.8;81528.7;78420.4
11;10.07;10.33;0.890;0.895;540.1;526.7;76420.7;72288.3
12;10.80;11.20;0.896;0.902;503.5;485.8;72092.1;67178.3
13;11.62;12.06;0.902;0.908;468.2;451.1;67597.4;62854.4
14;12.53;12.91;0.909;0.914;434.1;421.4;63237.8;59148.2
15;13.63;13.75;0.915;0.919;399.1;395.7;58845.6;55936.2
16;14.93;14.58;0.921;0.923;364.4;373.2;54737.6;53125.6
17;14.96;15.40;0.921;0.926;363.6;353.3;54413.8;50645.8
18;16.57;16.21;0.928;0.929;328.4;335.6;50122.9;48441.4
19;16.57;17.01;0.928;0.932;328.4;319.8;50042.8;46469.1
20;18.52;17.80;0.934;0.935;293.7;305.6;45718.6;44694.0
21;18.56;18.58;0.934;0.937;293.1;292.7;45429.3;43088.0
22;18.56;19.36;0.934;0.939;293.1;281.0;45393.7;41628.0
23;21.03;20.12;0.941;0.941;258.6;270.4;40987.1;40295.0
24;21.07;20.88;0.941;0.943;258.1;260.6;40975.3;39073.0
25;21.06;21.63;0.941;0.945;258.3;251.6;40978.3;37948.8
26;21.19;22.37;0.941;0.946;256.8;243.2;40808.7;36911.0
27;24.37;23.10;0.947;0.948;223.2;235.5;36668.2;35950.2
28;24.35;23.82;0.947;0.949;223.4;228.4;36512.1;35057.9
29;24.34;24.53;0.947;0.950;223.5;221.7;36614.0;34227.2
30;24.33;25.24;0.947;0.951;223.6;215.5;36580.7;33451.9
31;24.36;25.94;0.947;0.952;223.3;209.7;36482.0;32726.6
32;28.74;26.63;0.954;0.953;189.3;204.3;32054.2;32046.7
33;28.79;27.32;0.954;0.954;188.9;199.1;32065.8;31407.9
34;28.78;27.99;0.954;0.955;189.0;194.3;32097.3;30806.7
35;28.75;28.66;0.954;0.956;189.2;189.8;31956.4;30239.9
36;28.72;29.33;0.954;0.957;189.4;185.5;31967.4;29704.6
37;28.62;29.98;0.954;0.958;190.1;181.4;31881.5;29198.2
38;28.63;30.63;0.954;0.958;190.0;177.6;31953.4;28718.4
39;28.90;31.27;0.955;0.959;188.2;173.9;31459.6;28263.3
40;34.84;31.91;0.961;0.960;156.2;170.5;27338.0;27830.9
41;34.99;32.54;0.960;0.960;155.5;167.2;27457.4;27419.6
42;34.97;33.16;0.961;0.961;155.6;164.0;27340.6;27027.9
43;34.97;33.78;0.960;0.961;155.6;161.1;27436.5;26654.4
44;34.94;34.39;0.960;0.962;155.7;158.2;27415.9;26297.9
45;34.82;34.99;0.961;0.962;156.2;155.5;27280.9;25957.2
46;34.75;35.59;0.961;0.963;156.5;152.9;27232.2;25631.3
47;34.72;36.18;0.961;0.963;156.7;150.4;27293.6;25319.3
48;34.56;36.77;0.961;0.964;157.4;148.0;27248.9;25020.3
