#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;628.5;628.5;79171.2;79193.8
2;2.00;2.00;0.497;0.494;314.3;314.9;39806.0;40052.2
3;3.00;2.99;0.662;0.659;209.7;210.3;26782.2;27005.1
4;4.00;3.98;0.746;0.741;157.2;158.1;20128.2;20481.5
5;5.00;4.96;0.796;0.791;125.7;126.7;16119.1;16567.3
6;6.00;5.94;0.829;0.824;104.8;105.8;13550.5;13957.9
7;7.00;6.92;0.851;0.847;89.8;90.9;11788.8;12094.0
8;8.00;7.89;0.868;0.865;78.6;79.7;10414.6;10696.1
9;9.00;8.86;0.883;0.879;69.8;71.0;9287.0;9608.8
10;9.98;9.82;0.894;0.890;63.0;64.0;8427.4;8739.0
11;11.00;10.78;0.903;0.899;57.1;58.3;7652.7;8027.4
12;11.93;11.74;0.911;0.906;52.7;53.5;7077.4;7434.3
13;12.89;12.70;0.917;0.913;48.8;49.5;6584.4;6932.5
14;13.87;13.65;0.922;0.918;45.3;46.1;6188.3;6502.4
15;14.64;14.59;0.925;0.923;42.9;43.1;5931.2;6129.6
16;15.69;15.53;0.930;0.927;40.1;40.5;5577.7;5803.4
17;16.43;16.47;0.932;0.930;38.3;38.2;5389.3;5515.6
18;17.40;17.41;0.935;0.934;36.1;36.1;5122.2;5259.8
19;18.29;18.34;0.938;0.937;34.4;34.3;4895.3;5030.9
20;19.02;19.27;0.940;0.939;33.0;32.6;4770.8;4824.9
21;19.86;20.19;0.942;0.942;31.6;31.1;4566.3;4638.5
22;20.75;21.11;0.945;0.944;30.3;29.8;4385.8;4469.0
23;21.63;22.03;0.946;0.946;29.1;28.5;4250.4;4314.3
24;22.63;22.94;0.948;0.947;27.8;27.4;4083.8;4172.5
25;23.41;23.85;0.950;0.949;26.9;26.3;3983.0;4042.0
26;24.29;24.76;0.951;0.951;25.9;25.4;3852.6;3921.6
27;25.22;25.67;0.953;0.952;24.9;24.5;3735.9;3810.1
28;26.13;26.57;0.954;0.953;24.1;23.7;3604.9;3706.5
29;27.02;27.46;0.956;0.955;23.3;22.9;3514.4;3610.1
30;27.93;28.36;0.957;0.956;22.5;22.2;3439.0;3520.2
31;28.86;29.25;0.958;0.957;21.8;21.5;3347.2;3436.0
32;29.80;30.13;0.959;0.958;21.1;20.9;3246.9;3357.1
33;30.72;31.01;0.960;0.959;20.5;20.3;3147.7;3282.9
34;31.58;31.89;0.961;0.960;19.9;19.7;3073.3;3213.2
35;32.50;32.77;0.963;0.960;19.3;19.2;2958.6;3147.4
36;33.47;33.64;0.963;0.961;18.8;18.7;2902.8;3085.3
37;34.38;34.51;0.964;0.962;18.3;18.2;2872.5;3026.5
38;35.31;35.38;0.965;0.963;17.8;17.8;2808.3;2970.8
39;36.23;36.25;0.965;0.963;17.4;17.3;2736.3;2918.0
40;37.12;37.11;0.966;0.964;16.9;16.9;2676.7;2867.8
41;38.00;37.96;0.967;0.964;16.5;16.6;2610.0;2820.1
42;38.97;38.82;0.968;0.965;16.1;16.2;2568.3;2774.6
43;39.88;39.67;0.968;0.966;15.8;15.8;2519.5;2731.3
44;40.81;40.52;0.969;0.966;15.4;15.5;2467.6;2689.9
45;41.49;41.36;0.969;0.967;15.2;15.2;2427.5;2650.3
46;42.52;42.20;0.970;0.967;14.8;14.9;2375.4;2612.5
47;43.20;43.04;0.970;0.968;14.6;14.6;2348.7;2576.3
48;44.32;43.88;0.973;0.968;14.2;14.3;2170.8;2541.6
