#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;25.1;25.1;3216.6;3166.2
2;1.59;1.61;0.370;0.377;15.7;15.5;2025.9;1975.8
3;2.00;2.03;0.496;0.502;12.5;12.4;1619.6;1579.0
4;2.29;2.33;0.558;0.565;10.9;10.8;1422.2;1380.6
5;2.52;2.56;0.596;0.603;9.9;9.8;1300.9;1261.6
6;2.72;2.73;0.623;0.628;9.2;9.2;1212.7;1182.2
7;2.86;2.88;0.644;0.646;8.8;8.7;1146.1;1125.5
8;2.96;2.99;0.655;0.660;8.5;8.4;1108.3;1083.0
9;3.06;3.09;0.664;0.670;8.2;8.1;1081.7;1049.9
10;3.12;3.17;0.672;0.678;8.0;7.9;1056.1;1023.5
11;3.23;3.24;0.683;0.685;7.8;7.7;1019.4;1001.8
12;3.30;3.31;0.689;0.691;7.6;7.6;1001.9;983.8
13;3.34;3.36;0.692;0.696;7.5;7.5;990.8;968.5
14;3.40;3.41;0.700;0.700;7.4;7.4;966.6;955.5
15;3.44;3.45;0.703;0.703;7.3;7.3;954.4;944.1
16;3.48;3.49;0.704;0.707;7.2;7.2;951.5;934.2
17;3.52;3.52;0.708;0.709;7.1;7.1;939.6;925.5
18;3.54;3.55;0.709;0.712;7.1;7.1;936.1;917.7
19;3.58;3.58;0.715;0.714;7.0;7.0;917.3;910.7
20;3.61;3.61;0.717;0.716;6.9;6.9;911.3;904.4
21;3.64;3.63;0.719;0.718;6.9;6.9;904.3;898.8
22;3.65;3.65;0.720;0.719;6.9;6.9;901.5;893.6
23;3.67;3.67;0.720;0.721;6.8;6.8;901.1;888.9
24;3.69;3.69;0.723;0.722;6.8;6.8;890.7;884.6
25;3.71;3.71;0.727;0.724;6.8;6.8;877.1;880.6
26;3.73;3.73;0.727;0.725;6.7;6.7;879.7;877.0
27;3.75;3.74;0.728;0.726;6.7;6.7;874.6;873.6
28;3.76;3.76;0.729;0.727;6.7;6.7;871.6;870.4
29;3.78;3.77;0.731;0.728;6.6;6.7;866.8;867.5
30;3.80;3.78;0.734;0.729;6.6;6.6;856.8;864.8
31;3.79;3.79;0.739;0.729;6.6;6.6;840.3;862.2
32;3.81;3.80;0.735;0.730;6.6;6.6;854.0;859.8
33;3.82;3.81;0.735;0.731;6.6;6.6;851.2;857.6
34;3.84;3.82;0.730;0.732;6.5;6.6;869.0;855.4
35;3.84;3.83;0.742;0.732;6.5;6.5;830.3;853.4
36;3.86;3.84;0.745;0.733;6.5;6.5;820.9;851.5
37;3.86;3.85;0.738;0.733;6.5;6.5;841.4;849.8
38;3.86;3.86;0.739;0.734;6.5;6.5;840.2;848.1
39;3.87;3.87;0.739;0.734;6.5;6.5;839.0;846.5
40;3.89;3.87;0.742;0.735;6.4;6.5;830.4;844.9
41;3.90;3.88;0.739;0.735;6.4;6.5;839.8;843.5
42;3.90;3.89;0.748;0.736;6.4;6.4;810.8;842.1
43;3.92;3.89;0.750;0.736;6.4;6.4;804.4;840.8
44;3.91;3.90;0.748;0.737;6.4;6.4;809.1;839.5
45;3.91;3.91;0.749;0.737;6.4;6.4;807.1;838.3
46;3.91;3.91;0.750;0.737;6.4;6.4;803.8;837.2
47;3.92;3.92;0.751;0.738;6.4;6.4;801.2;836.1
48;3.92;3.92;0.749;0.738;6.4;6.4;806.5;835.0
