#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;356.0;356.0;45011.4;44859.7
2;2.00;1.99;0.491;0.493;178.4;178.7;22893.2;22725.9
3;2.91;2.98;0.649;0.658;122.3;119.6;15819.9;15348.0
4;3.87;3.96;0.734;0.740;92.1;90.0;11986.7;11659.0
5;4.82;4.93;0.785;0.790;73.8;72.3;9691.1;9445.7
6;5.76;5.89;0.818;0.822;61.8;60.4;8189.9;7970.1
7;6.74;6.85;0.844;0.846;52.8;52.0;7042.0;6916.1
8;7.67;7.80;0.861;0.864;46.4;45.7;6245.0;6125.6
9;8.58;8.74;0.875;0.877;41.5;40.7;5621.5;5510.8
10;9.52;9.68;0.887;0.888;37.4;36.8;5092.5;5018.9
11;10.37;10.61;0.895;0.897;34.3;33.6;4709.9;4616.5
12;11.35;11.53;0.904;0.905;31.4;30.9;4317.5;4281.1
13;12.15;12.45;0.910;0.911;29.3;28.6;4066.8;3997.3
14;13.13;13.36;0.916;0.916;27.1;26.7;3779.3;3754.1
15;14.04;14.26;0.921;0.921;25.4;25.0;3559.8;3543.3
16;15.00;15.16;0.926;0.925;23.7;23.5;3352.6;3358.9
17;15.92;16.05;0.929;0.929;22.4;22.2;3183.7;3196.1
18;16.82;16.93;0.933;0.932;21.2;21.0;3019.9;3051.5
19;17.77;17.81;0.936;0.935;20.0;20.0;2869.9;2922.0
20;18.73;18.69;0.940;0.938;19.0;19.1;2719.8;2805.5
21;19.66;19.55;0.942;0.940;18.1;18.2;2630.6;2700.1
22;20.21;20.41;0.943;0.942;17.6;17.4;2563.3;2604.3
23;20.83;21.27;0.944;0.944;17.1;16.7;2499.0;2516.8
24;21.97;22.12;0.947;0.946;16.2;16.1;2365.3;2436.6
25;22.99;22.96;0.950;0.947;15.5;15.5;2267.9;2362.8
26;23.40;23.80;0.950;0.949;15.2;15.0;2248.9;2294.7
27;24.14;24.63;0.951;0.950;14.8;14.5;2192.1;2231.7
28;25.00;25.46;0.953;0.952;14.2;14.0;2120.1;2173.1
29;25.84;26.28;0.954;0.953;13.8;13.5;2056.9;2118.6
30;27.08;27.09;0.956;0.954;13.1;13.1;1964.7;2067.7
31;27.48;27.90;0.956;0.955;13.0;12.8;1964.9;2020.1
32;28.36;28.71;0.958;0.956;12.6;12.4;1894.1;1975.5
33;29.08;29.51;0.959;0.957;12.2;12.1;1857.1;1933.6
34;29.99;30.30;0.960;0.958;11.9;11.7;1813.8;1894.1
35;30.90;31.09;0.961;0.959;11.5;11.5;1765.4;1856.9
36;31.76;31.87;0.962;0.960;11.2;11.2;1711.6;1821.8
37;32.35;32.65;0.962;0.960;11.0;10.9;1695.7;1788.6
38;33.27;33.42;0.963;0.961;10.7;10.7;1653.7;1757.1
39;34.22;34.19;0.964;0.962;10.4;10.4;1620.7;1727.2
40;36.10;34.96;0.966;0.962;9.9;10.2;1530.7;1698.8
41;35.85;35.71;0.966;0.963;9.9;10.0;1548.9;1671.8
42;36.40;36.47;0.966;0.963;9.8;9.8;1535.0;1646.1
43;37.35;37.22;0.966;0.964;9.5;9.6;1519.5;1621.6
44;38.12;37.96;0.966;0.964;9.3;9.4;1510.4;1598.2
45;38.88;38.70;0.967;0.965;9.2;9.2;1473.4;1575.9
46;39.74;39.43;0.968;0.965;9.0;9.0;1432.5;1554.5
47;40.35;40.16;0.968;0.966;8.8;8.9;1434.3;1534.0
48;41.34;40.89;0.969;0.966;8.6;8.7;1414.7;1514.4
