#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;74.4;74.4;10104.5;9463.6
2;1.03;1.04;0.076;0.034;72.1;71.9;9333.0;9147.2
3;1.04;1.05;0.095;0.045;71.3;71.1;9141.4;9041.8
4;1.05;1.05;0.108;0.051;70.7;70.6;9014.0;8989.0
5;1.05;1.06;0.110;0.054;70.6;70.4;8997.9;8957.4
6;1.06;1.06;0.117;0.056;70.0;70.2;8917.4;8936.3
7;1.06;1.06;0.118;0.058;70.3;70.1;8913.9;8921.2
8;1.07;1.06;0.124;0.059;69.8;70.0;8852.4;8909.9
9;1.07;1.06;0.125;0.060;69.6;69.9;8837.3;8901.1
10;1.07;1.07;0.128;0.061;69.5;69.9;8814.3;8894.1
11;1.06;1.07;0.118;0.061;70.2;69.8;8915.9;8888.4
12;1.07;1.07;0.124;0.062;69.7;69.8;8849.8;8883.6
13;1.06;1.07;0.116;0.062;70.2;69.8;8931.0;8879.5
14;1.07;1.07;0.123;0.063;69.8;69.7;8863.1;8876.0
15;1.08;1.07;0.129;0.063;69.1;69.7;8796.0;8873.0
16;1.06;1.07;0.115;0.063;70.2;69.7;8943.8;8870.4
17;1.07;1.07;0.125;0.063;69.3;69.7;8841.7;8868.0
18;1.07;1.07;0.129;0.064;69.3;69.7;8796.4;8866.0
19;1.06;1.07;0.116;0.064;70.1;69.6;8932.1;8864.1
20;1.06;1.07;0.114;0.064;70.2;69.6;8953.5;8862.5
21;1.06;1.07;0.113;0.064;70.3;69.6;8960.3;8861.0
22;1.07;1.07;0.116;0.064;69.4;69.6;8929.3;8859.6
23;1.07;1.07;0.116;0.065;69.4;69.6;8930.4;8858.3
24;1.07;1.07;0.113;0.065;69.6;69.6;8963.5;8857.2
25;1.08;1.07;0.116;0.065;69.1;69.6;8932.6;8856.1
26;1.07;1.07;0.121;0.065;69.4;69.6;8884.4;8855.2
27;1.08;1.07;0.123;0.065;69.2;69.6;8863.3;8854.3
28;1.06;1.07;0.115;0.065;70.0;69.6;8947.5;8853.4
29;1.07;1.07;0.120;0.065;69.8;69.6;8893.1;8852.6
30;1.08;1.07;0.124;0.065;69.2;69.5;8850.1;8851.9
31;1.07;1.07;0.112;0.065;69.4;69.5;8972.2;8851.2
32;1.07;1.07;0.110;0.065;69.7;69.5;8996.0;8850.6
33;1.07;1.07;0.119;0.065;69.4;69.5;8898.3;8850.0
34;1.08;1.07;0.118;0.065;69.2;69.5;8916.4;8849.4
35;1.08;1.07;0.120;0.066;69.0;69.5;8895.3;8848.9
36;1.08;1.07;0.118;0.066;69.1;69.5;8911.2;8848.4
37;1.07;1.07;0.121;0.066;69.3;69.5;8878.0;8847.9
38;1.07;1.07;0.117;0.066;69.6;69.5;8925.7;8847.5
39;1.06;1.07;0.109;0.066;70.0;69.5;9005.0;8847.0
40;1.07;1.07;0.116;0.066;69.7;69.5;8937.1;8846.6
41;1.06;1.07;0.108;0.066;70.4;69.5;9009.3;8846.3
42;1.06;1.07;0.112;0.066;70.1;69.5;8975.6;8845.9
43;1.07;1.07;0.120;0.066;69.4;69.5;8890.8;8845.5
44;1.08;1.07;0.128;0.066;68.8;69.5;8811.5;8845.2
45;1.07;1.07;0.118;0.066;69.7;69.5;8916.7;8844.9
46;1.07;1.07;0.117;0.066;69.7;69.5;8919.2;8844.6
47;1.08;1.07;0.125;0.066;69.0;69.5;8845.0;8844.3
48;1.07;1.07;0.120;0.066;69.5;69.5;8894.7;8844.0
