#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;5002.3;5002.3;633615.8;630467.0
2;1.96;1.94;0.483;0.481;2550.6;2575.7;327384.7;327619.6
3;2.77;2.83;0.627;0.641;1806.3;1766.8;236128.1;226670.5
4;3.58;3.67;0.708;0.721;1399.2;1362.4;184888.9;176195.9
5;4.20;4.47;0.747;0.769;1190.7;1119.7;160263.1;145911.2
6;4.79;5.22;0.776;0.801;1044.3;958.0;142164.3;125721.3
7;5.39;5.94;0.797;0.824;928.6;842.4;128322.5;111300.0
8;6.01;6.62;0.816;0.841;831.8;755.7;116409.9;100484.1
9;6.60;7.27;0.830;0.854;758.4;688.3;107541.4;92071.6
10;7.27;7.89;0.845;0.865;687.8;634.4;98441.7;85341.7
11;7.73;8.47;0.853;0.874;647.5;590.3;93269.0;79835.4
12;8.27;9.04;0.862;0.881;604.7;553.5;87500.9;75246.8
13;8.77;9.58;0.867;0.887;570.2;522.4;84047.4;71364.1
14;9.28;10.09;0.874;0.892;539.2;495.7;79676.3;68036.1
15;9.96;10.58;0.881;0.897;502.2;472.6;75184.9;65151.9
16;10.69;11.06;0.889;0.901;468.0;452.4;70554.8;62628.1
17;10.77;11.51;0.889;0.905;464.6;434.6;70168.8;60401.3
18;11.68;11.95;0.897;0.908;428.1;418.7;65072.4;58421.9
19;11.70;12.37;0.898;0.910;427.4;404.5;64357.6;56650.9
20;12.77;12.77;0.906;0.913;391.6;391.7;59728.9;55057.0
21;12.83;13.16;0.906;0.915;390.0;380.2;59538.6;53614.8
22;12.88;13.53;0.906;0.917;388.4;369.7;59685.4;52303.8
23;14.12;13.89;0.913;0.919;354.3;360.1;55252.5;51106.8
24;14.18;14.24;0.913;0.921;352.7;351.3;54971.7;50009.5
25;14.17;14.57;0.913;0.923;353.1;343.2;54937.3;49000.0
26;14.39;14.90;0.914;0.924;347.5;335.7;54365.1;48068.2
27;15.80;15.21;0.920;0.925;316.7;328.8;50419.0;47205.4
28;15.73;15.52;0.920;0.927;318.1;322.4;50513.7;46404.2
29;15.74;15.81;0.920;0.928;317.9;316.4;50473.1;45658.2
30;15.71;16.09;0.920;0.929;318.5;310.9;50477.4;44962.0
31;15.85;16.37;0.921;0.930;315.5;305.6;49940.7;44310.8
32;17.58;16.63;0.928;0.931;284.6;300.7;45779.4;43700.2
33;17.62;16.89;0.928;0.932;283.9;296.2;45673.2;43126.6
34;17.60;17.14;0.928;0.933;284.2;291.8;45629.4;42586.8
35;17.53;17.38;0.928;0.934;285.3;287.7;45769.4;42077.8
36;17.57;17.62;0.928;0.934;284.8;283.9;45727.5;41597.1
37;17.47;17.85;0.928;0.935;286.3;280.3;45684.3;41142.3
38;17.40;18.07;0.927;0.936;287.5;276.8;45963.5;40711.6
39;17.92;18.29;0.929;0.936;279.2;273.5;44816.2;40302.9
40;19.86;18.50;0.935;0.937;251.8;270.4;41094.8;39914.6
41;19.74;18.70;0.935;0.938;253.4;267.5;41325.7;39545.3
42;19.83;18.90;0.935;0.938;252.3;264.6;41095.4;39193.5
43;19.66;19.10;0.935;0.939;254.4;261.9;41270.0;38858.1
44;19.65;19.29;0.935;0.939;254.5;259.4;41188.8;38538.0
45;19.57;19.47;0.935;0.940;255.6;256.9;41259.8;38232.1
46;19.52;19.65;0.935;0.940;256.3;254.6;41193.4;37939.5
47;19.33;19.82;0.935;0.941;258.9;252.3;41413.1;37659.3
48;19.35;19.99;0.935;0.941;258.6;250.2;41410.4;37390.9
