#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;44.8;44.8;5600.9;5683.3
2;1.87;1.27;0.465;0.212;24.0;35.2;2998.4;4922.9
3;2.63;1.54;0.618;0.349;17.1;29.0;2139.8;4669.4
4;3.29;1.82;0.692;0.445;13.6;24.7;1725.4;4542.7
5;3.89;2.09;0.737;0.516;11.5;21.5;1473.6;4466.6
6;4.42;2.36;0.768;0.571;10.1;19.0;1298.8;4415.9
7;4.90;2.63;0.791;0.614;9.1;17.0;1168.7;4379.7
8;5.32;2.90;0.809;0.649;8.4;15.4;1071.9;4352.6
9;5.72;3.18;0.821;0.679;7.8;14.1;1002.2;4331.5
10;6.08;3.45;0.833;0.703;7.4;13.0;934.9;4314.6
11;6.41;3.72;0.840;0.724;7.0;12.0;896.8;4300.7
12;6.70;3.99;0.846;0.742;6.7;11.2;859.8;4289.2
13;6.99;4.26;0.854;0.758;6.4;10.5;820.0;4279.5
14;7.24;4.54;0.856;0.772;6.2;9.9;804.2;4271.1
15;7.48;4.81;0.860;0.785;6.0;9.3;783.3;4263.9
16;7.68;5.08;0.865;0.796;5.8;8.8;758.4;4257.5
17;7.90;5.35;0.866;0.806;5.7;8.4;748.0;4251.9
18;8.11;5.62;0.874;0.814;5.5;8.0;704.0;4247.0
19;8.27;5.90;0.874;0.823;5.4;7.6;708.3;4242.5
20;8.43;6.17;0.878;0.830;5.3;7.3;686.1;4238.5
21;8.59;6.44;0.878;0.837;5.2;7.0;682.0;4234.9
22;8.76;6.71;0.881;0.843;5.1;6.7;668.4;4231.6
23;8.89;6.98;0.883;0.849;5.0;6.4;656.1;4228.6
24;9.03;7.26;0.883;0.854;5.0;6.2;654.7;4225.8
25;9.19;7.53;0.886;0.859;4.9;6.0;638.8;4223.3
26;9.29;7.80;0.887;0.864;4.8;5.7;631.2;4221.0
27;9.43;8.07;0.887;0.868;4.8;5.5;633.6;4218.8
28;9.53;8.34;0.890;0.872;4.7;5.4;618.1;4216.8
29;9.60;8.62;0.890;0.876;4.7;5.2;616.5;4214.9
30;9.74;8.89;0.892;0.879;4.6;5.0;603.3;4213.2
31;9.80;9.16;0.892;0.882;4.6;4.9;606.7;4211.5
32;9.88;9.43;0.891;0.886;4.5;4.7;611.1;4210.0
33;9.99;9.70;0.895;0.889;4.5;4.6;585.5;4208.6
34;10.04;9.98;0.896;0.891;4.5;4.5;581.5;4207.2
35;10.13;10.25;0.896;0.894;4.4;4.4;585.2;4205.9
36;10.21;10.52;0.898;0.896;4.4;4.3;568.8;4204.7
37;10.25;10.79;0.897;0.899;4.4;4.2;577.8;4203.6
38;10.34;11.07;0.898;0.901;4.3;4.0;571.1;4202.5
39;10.41;11.34;0.900;0.903;4.3;4.0;557.7;4201.5
40;10.49;11.61;0.901;0.905;4.3;3.9;556.5;4200.5
41;10.51;11.88;0.902;0.907;4.3;3.8;548.5;4199.6
42;10.61;12.15;0.902;0.909;4.2;3.7;547.6;4198.7
43;10.67;12.43;0.903;0.911;4.2;3.6;545.5;4197.8
44;10.73;12.70;0.902;0.913;4.2;3.5;549.3;4197.0
45;10.77;12.97;0.902;0.914;4.2;3.5;548.2;4196.3
46;10.83;13.24;0.904;0.916;4.1;3.4;537.1;4195.5
47;10.89;13.51;0.902;0.917;4.1;3.3;550.2;4194.8
48;10.86;13.79;0.904;0.919;4.1;3.2;536.8;4194.2
