#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;5440.1;5440.1;692608.3;686703.6
2;1.98;1.81;0.491;0.443;2743.3;3009.1;352334.8;412452.0
3;2.88;2.62;0.648;0.612;1887.2;2079.7;244018.6;321034.8
4;3.87;3.42;0.733;0.701;1406.7;1589.0;184778.0;275326.2
5;4.81;4.23;0.783;0.756;1130.0;1285.6;150372.8;247901.1
6;5.69;5.04;0.814;0.794;956.7;1079.5;128966.0;229617.6
7;6.62;5.85;0.839;0.821;821.3;930.4;111303.3;216558.0
8;7.59;6.66;0.858;0.842;717.2;817.4;98497.8;206763.3
9;8.41;7.46;0.870;0.858;646.5;728.9;90352.4;199145.2
10;9.44;8.27;0.882;0.871;576.5;657.7;81528.7;193050.7
11;10.07;9.08;0.890;0.881;540.1;599.2;76420.7;188064.3
12;10.80;9.89;0.896;0.890;503.5;550.2;72092.1;183909.0
13;11.62;10.69;0.902;0.898;468.2;508.7;67597.4;180393.0
14;12.53;11.50;0.909;0.904;434.1;473.0;63237.8;177379.2
15;13.63;12.31;0.915;0.910;399.1;441.9;58845.6;174767.3
16;14.93;13.12;0.921;0.915;364.4;414.7;54737.6;172481.9
17;14.96;13.93;0.921;0.919;363.6;390.6;54413.8;170465.3
18;16.57;14.73;0.928;0.923;328.4;369.2;50122.9;168672.8
19;16.57;15.54;0.928;0.927;328.4;350.0;50042.8;167069.0
20;18.52;16.35;0.934;0.930;293.7;332.7;45718.6;165625.6
21;18.56;17.16;0.934;0.933;293.1;317.1;45429.3;164319.6
22;18.56;17.97;0.934;0.935;293.1;302.8;45393.7;163132.4
23;21.03;18.77;0.941;0.938;258.6;289.8;40987.1;162048.4
24;21.07;19.58;0.941;0.940;258.1;277.8;40975.3;161054.7
25;21.06;20.39;0.941;0.942;258.3;266.8;40978.3;160140.5
26;21.19;21.20;0.941;0.944;256.8;256.6;40808.7;159296.7
27;24.37;22.00;0.947;0.946;223.2;247.2;36668.2;158515.3
28;24.35;22.81;0.947;0.947;223.4;238.5;36512.1;157789.8
29;24.34;23.62;0.947;0.949;223.5;230.3;36614.0;157114.3
30;24.33;24.43;0.947;0.950;223.6;222.7;36580.7;156483.9
31;24.36;25.24;0.947;0.951;223.3;215.6;36482.0;155894.1
32;28.74;26.04;0.954;0.953;189.3;208.9;32054.2;155341.1
33;28.79;26.85;0.954;0.954;188.9;202.6;32065.8;154821.7
34;28.78;27.66;0.954;0.955;189.0;196.7;32097.3;154332.9
35;28.75;28.47;0.954;0.956;189.2;191.1;31956.4;153871.9
36;28.72;29.28;0.954;0.957;189.4;185.8;31967.4;153436.6
37;28.62;30.08;0.954;0.958;190.1;180.8;31881.5;153024.8
38;28.63;30.89;0.954;0.959;190.0;176.1;31953.4;152634.7
39;28.90;31.70;0.955;0.959;188.2;171.6;31459.6;152264.6
40;34.84;32.51;0.961;0.960;156.2;167.3;27338.0;151913.0
41;34.99;33.32;0.960;0.961;155.5;163.3;27457.4;151578.5
42;34.97;34.12;0.961;0.962;155.6;159.4;27340.6;151260.0
43;34.97;34.93;0.960;0.962;155.6;155.7;27436.5;150956.3
44;34.94;35.74;0.960;0.963;155.7;152.2;27415.9;150666.4
45;34.82;36.55;0.961;0.963;156.2;148.9;27280.9;150389.4
46;34.75;37.35;0.961;0.964;156.5;145.6;27232.2;150124.4
47;34.72;38.16;0.961;0.965;156.7;142.6;27293.6;149870.7
48;34.56;38.97;0.961;0.965;157.4;139.6;27248.9;149627.6
