#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;628.5;628.5;79171.2;79245.2
2;2.00;1.93;0.497;0.477;314.3;325.7;39806.0;42782.6
3;3.00;2.86;0.662;0.644;209.7;219.8;26782.2;30628.5
4;4.00;3.79;0.746;0.729;157.2;165.9;20128.2;24551.4
5;5.00;4.72;0.796;0.781;125.7;133.2;16119.1;20905.1
6;6.00;5.65;0.829;0.815;104.8;111.3;13550.5;18474.3
7;7.00;6.58;0.851;0.840;89.8;95.5;11788.8;16738.0
8;8.00;7.51;0.868;0.859;78.6;83.7;10414.6;15435.7
9;9.00;8.44;0.883;0.873;69.8;74.5;9287.0;14422.9
10;9.98;9.37;0.894;0.885;63.0;67.1;8427.4;13612.6
11;11.00;10.30;0.903;0.894;57.1;61.0;7652.7;12949.6
12;11.93;11.23;0.911;0.902;52.7;56.0;7077.4;12397.2
13;12.89;12.16;0.917;0.909;48.8;51.7;6584.4;11929.7
14;13.87;13.09;0.922;0.915;45.3;48.0;6188.3;11529.0
15;14.64;14.02;0.925;0.920;42.9;44.8;5931.2;11181.8
16;15.69;14.95;0.930;0.924;40.1;42.1;5577.7;10877.9
17;16.43;15.88;0.932;0.928;38.3;39.6;5389.3;10609.8
18;17.40;16.80;0.935;0.932;36.1;37.4;5122.2;10371.5
19;18.29;17.73;0.938;0.935;34.4;35.4;4895.3;10158.3
20;19.02;18.66;0.940;0.938;33.0;33.7;4770.8;9966.4
21;19.86;19.59;0.942;0.940;31.6;32.1;4566.3;9792.7
22;20.75;20.52;0.945;0.942;30.3;30.6;4385.8;9634.9
23;21.63;21.45;0.946;0.944;29.1;29.3;4250.4;9490.8
24;22.63;22.38;0.948;0.946;27.8;28.1;4083.8;9358.6
25;23.41;23.31;0.950;0.948;26.9;27.0;3983.0;9237.1
26;24.29;24.24;0.951;0.950;25.9;25.9;3852.6;9124.9
27;25.22;25.17;0.953;0.951;24.9;25.0;3735.9;9021.0
28;26.13;26.10;0.954;0.953;24.1;24.1;3604.9;8924.6
29;27.02;27.03;0.956;0.954;23.3;23.3;3514.4;8834.8
30;27.93;27.96;0.957;0.955;22.5;22.5;3439.0;8750.9
31;28.86;28.89;0.958;0.956;21.8;21.8;3347.2;8672.5
32;29.80;29.82;0.959;0.957;21.1;21.1;3246.9;8599.0
33;30.72;30.75;0.960;0.958;20.5;20.4;3147.7;8529.9
34;31.58;31.68;0.961;0.959;19.9;19.8;3073.3;8465.0
35;32.50;32.61;0.963;0.960;19.3;19.3;2958.6;8403.7
36;33.47;33.54;0.963;0.961;18.8;18.7;2902.8;8345.8
37;34.38;34.47;0.964;0.962;18.3;18.2;2872.5;8291.0
38;35.31;35.40;0.965;0.963;17.8;17.8;2808.3;8239.2
39;36.23;36.33;0.965;0.963;17.4;17.3;2736.3;8190.0
40;37.12;37.26;0.966;0.964;16.9;16.9;2676.7;8143.2
41;38.00;38.19;0.967;0.965;16.5;16.5;2610.0;8098.8
42;38.97;39.12;0.968;0.965;16.1;16.1;2568.3;8056.4
43;39.88;40.05;0.968;0.966;15.8;15.7;2519.5;8016.0
44;40.81;40.98;0.969;0.966;15.4;15.3;2467.6;7977.5
45;41.49;41.91;0.969;0.967;15.2;15.0;2427.5;7940.7
46;42.52;42.84;0.970;0.967;14.8;14.7;2375.4;7905.4
47;43.20;43.77;0.970;0.968;14.6;14.4;2348.7;7871.7
48;44.32;44.70;0.973;0.968;14.2;14.1;2170.8;7839.4
