#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;25.1;25.1;3216.6;3186.4
2;1.59;1.09;0.370;0.079;15.7;23.1;2025.9;3050.6
3;2.00;1.17;0.496;0.147;12.5;21.4;1619.6;3005.3
4;2.29;1.26;0.558;0.205;10.9;19.9;1422.2;2982.7
5;2.52;1.35;0.596;0.255;9.9;18.6;1300.9;2969.1
6;2.72;1.43;0.623;0.300;9.2;17.5;1212.7;2960.1
7;2.86;1.52;0.644;0.339;8.8;16.5;1146.1;2953.6
8;2.96;1.61;0.655;0.374;8.5;15.6;1108.3;2948.7
9;3.06;1.69;0.664;0.406;8.2;14.8;1081.7;2945.0
10;3.12;1.78;0.672;0.434;8.0;14.1;1056.1;2942.0
11;3.23;1.87;0.683;0.460;7.8;13.4;1019.4;2939.5
12;3.30;1.95;0.689;0.484;7.6;12.8;1001.9;2937.4
13;3.34;2.04;0.692;0.505;7.5;12.3;990.8;2935.7
14;3.40;2.13;0.700;0.525;7.4;11.8;966.6;2934.2
15;3.44;2.22;0.703;0.543;7.3;11.3;954.4;2932.9
16;3.48;2.30;0.704;0.560;7.2;10.9;951.5;2931.8
17;3.52;2.39;0.708;0.576;7.1;10.5;939.6;2930.8
18;3.54;2.48;0.709;0.590;7.1;10.1;936.1;2929.9
19;3.58;2.56;0.715;0.604;7.0;9.8;917.3;2929.1
20;3.61;2.65;0.717;0.617;6.9;9.5;911.3;2928.4
21;3.64;2.74;0.719;0.629;6.9;9.2;904.3;2927.7
22;3.65;2.82;0.720;0.640;6.9;8.9;901.5;2927.1
23;3.67;2.91;0.720;0.650;6.8;8.6;901.1;2926.6
24;3.69;3.00;0.723;0.660;6.8;8.4;890.7;2926.1
25;3.71;3.08;0.727;0.669;6.8;8.1;877.1;2925.7
26;3.73;3.17;0.727;0.678;6.7;7.9;879.7;2925.2
27;3.75;3.26;0.728;0.686;6.7;7.7;874.6;2924.9
28;3.76;3.34;0.729;0.694;6.7;7.5;871.6;2924.5
29;3.78;3.43;0.731;0.702;6.6;7.3;866.8;2924.2
30;3.80;3.52;0.734;0.709;6.6;7.1;856.8;2923.8
31;3.79;3.60;0.739;0.716;6.6;7.0;840.3;2923.6
32;3.81;3.69;0.735;0.722;6.6;6.8;854.0;2923.3
33;3.82;3.78;0.735;0.728;6.6;6.6;851.2;2923.0
34;3.84;3.86;0.730;0.734;6.5;6.5;869.0;2922.8
35;3.84;3.95;0.742;0.740;6.5;6.3;830.3;2922.6
36;3.86;4.04;0.745;0.745;6.5;6.2;820.9;2922.3
37;3.86;4.13;0.738;0.750;6.5;6.1;841.4;2922.1
38;3.86;4.21;0.739;0.755;6.5;6.0;840.2;2921.9
39;3.87;4.30;0.739;0.760;6.5;5.8;839.0;2921.8
40;3.89;4.39;0.742;0.765;6.4;5.7;830.4;2921.6
41;3.90;4.47;0.739;0.769;6.4;5.6;839.8;2921.4
42;3.90;4.56;0.748;0.773;6.4;5.5;810.8;2921.3
43;3.92;4.65;0.750;0.777;6.4;5.4;804.4;2921.1
44;3.91;4.73;0.748;0.781;6.4;5.3;809.1;2921.0
45;3.91;4.82;0.749;0.785;6.4;5.2;807.1;2920.8
46;3.91;4.91;0.750;0.789;6.4;5.1;803.8;2920.7
47;3.92;4.99;0.751;0.792;6.4;5.0;801.2;2920.6
48;3.92;5.08;0.749;0.796;6.4;4.9;806.5;2920.4
