#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;356.0;356.0;45011.4;44909.4
2;2.00;1.88;0.491;0.464;178.4;189.4;22893.2;25366.3
3;2.91;2.76;0.649;0.632;122.3;129.0;15819.9;18851.9
4;3.87;3.64;0.734;0.718;92.1;97.8;11986.7;15594.7
5;4.82;4.52;0.785;0.771;73.8;78.8;9691.1;13640.4
6;5.76;5.40;0.818;0.807;61.8;65.9;8189.9;12337.5
7;6.74;6.28;0.844;0.833;52.8;56.7;7042.0;11406.9
8;7.67;7.16;0.861;0.852;46.4;49.7;6245.0;10708.9
9;8.58;8.04;0.875;0.867;41.5;44.3;5621.5;10166.0
10;9.52;8.92;0.887;0.880;37.4;39.9;5092.5;9731.8
11;10.37;9.80;0.895;0.889;34.3;36.3;4709.9;9376.4
12;11.35;10.68;0.904;0.898;31.4;33.3;4317.5;9080.3
13;12.15;11.56;0.910;0.905;29.3;30.8;4066.8;8829.8
14;13.13;12.44;0.916;0.911;27.1;28.6;3779.3;8615.0
15;14.04;13.32;0.921;0.916;25.4;26.7;3559.8;8428.9
16;15.00;14.20;0.926;0.921;23.7;25.1;3352.6;8266.0
17;15.92;15.08;0.929;0.925;22.4;23.6;3183.7;8122.3
18;16.82;15.95;0.933;0.929;21.2;22.3;3019.9;7994.6
19;17.77;16.83;0.936;0.932;20.0;21.1;2869.9;7880.3
20;18.73;17.71;0.940;0.935;19.0;20.1;2719.8;7777.4
21;19.66;18.59;0.942;0.937;18.1;19.1;2630.6;7684.4
22;20.21;19.47;0.943;0.940;17.6;18.3;2563.3;7599.8
23;20.83;20.35;0.944;0.942;17.1;17.5;2499.0;7522.5
24;21.97;21.23;0.947;0.944;16.2;16.8;2365.3;7451.7
25;22.99;22.11;0.950;0.946;15.5;16.1;2267.9;7386.6
26;23.40;22.99;0.950;0.948;15.2;15.5;2248.9;7326.4
27;24.14;23.87;0.951;0.949;14.8;14.9;2192.1;7270.8
28;25.00;24.75;0.953;0.951;14.2;14.4;2120.1;7219.1
29;25.84;25.63;0.954;0.952;13.8;13.9;2056.9;7170.9
30;27.08;26.51;0.956;0.953;13.1;13.4;1964.7;7126.0
31;27.48;27.39;0.956;0.954;13.0;13.0;1964.9;7084.0
32;28.36;28.27;0.958;0.956;12.6;12.6;1894.1;7044.6
33;29.08;29.15;0.959;0.957;12.2;12.2;1857.1;7007.6
34;29.99;30.03;0.960;0.958;11.9;11.9;1813.8;6972.7
35;30.90;30.91;0.961;0.959;11.5;11.5;1765.4;6939.9
36;31.76;31.79;0.962;0.959;11.2;11.2;1711.6;6908.9
37;32.35;32.67;0.962;0.960;11.0;10.9;1695.7;6879.5
38;33.27;33.55;0.963;0.961;10.7;10.6;1653.7;6851.7
39;34.22;34.43;0.964;0.962;10.4;10.3;1620.7;6825.3
40;36.10;35.31;0.966;0.963;9.9;10.1;1530.7;6800.3
41;35.85;36.19;0.966;0.963;9.9;9.8;1548.9;6776.5
42;36.40;37.07;0.966;0.964;9.8;9.6;1535.0;6753.8
43;37.35;37.95;0.966;0.964;9.5;9.4;1519.5;6732.1
44;38.12;38.83;0.966;0.965;9.3;9.2;1510.4;6711.5
45;38.88;39.71;0.967;0.966;9.2;9.0;1473.4;6691.7
46;39.74;40.59;0.968;0.966;9.0;8.8;1432.5;6672.8
47;40.35;41.47;0.968;0.967;8.8;8.6;1434.3;6654.7
48;41.34;42.35;0.969;0.967;8.6;8.4;1414.7;6637.4
