#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;74.4;74.4;10104.5;9469.5
2;1.03;1.00;0.076;0.002;72.1;74.3;9333.0;9459.3
3;1.04;1.00;0.095;0.004;71.3;74.1;9141.4;9455.9
4;1.05;1.01;0.108;0.006;70.7;74.0;9014.0;9454.2
5;1.05;1.01;0.110;0.009;70.6;73.8;8997.9;9453.2
6;1.06;1.01;0.117;0.011;70.0;73.6;8917.4;9452.5
7;1.06;1.01;0.118;0.013;70.3;73.5;8913.9;9452.0
8;1.07;1.02;0.124;0.015;69.8;73.3;8852.4;9451.6
9;1.07;1.02;0.125;0.017;69.6;73.2;8837.3;9451.3
10;1.07;1.02;0.128;0.019;69.5;73.0;8814.3;9451.1
11;1.06;1.02;0.118;0.021;70.2;72.8;8915.9;9450.9
12;1.07;1.02;0.124;0.023;69.7;72.7;8849.8;9450.8
13;1.06;1.03;0.116;0.025;70.2;72.5;8931.0;9450.6
14;1.07;1.03;0.123;0.028;69.8;72.4;8863.1;9450.5
15;1.08;1.03;0.129;0.030;69.1;72.2;8796.0;9450.4
16;1.06;1.03;0.115;0.032;70.2;72.1;8943.8;9450.3
17;1.07;1.04;0.125;0.034;69.3;71.9;8841.7;9450.3
18;1.07;1.04;0.129;0.036;69.3;71.8;8796.4;9450.2
19;1.06;1.04;0.116;0.038;70.1;71.6;8932.1;9450.1
20;1.06;1.04;0.114;0.040;70.2;71.5;8953.5;9450.1
21;1.06;1.04;0.113;0.042;70.3;71.3;8960.3;9450.0
22;1.07;1.05;0.116;0.044;69.4;71.2;8929.3;9450.0
23;1.07;1.05;0.116;0.046;69.4;71.0;8930.4;9450.0
24;1.07;1.05;0.113;0.048;69.6;70.9;8963.5;9449.9
25;1.08;1.05;0.116;0.050;69.1;70.7;8932.6;9449.9
26;1.07;1.06;0.121;0.052;69.4;70.6;8884.4;9449.9
27;1.08;1.06;0.123;0.054;69.2;70.4;8863.3;9449.8
28;1.06;1.06;0.115;0.056;70.0;70.3;8947.5;9449.8
29;1.07;1.06;0.120;0.057;69.8;70.1;8893.1;9449.8
30;1.08;1.06;0.124;0.059;69.2;70.0;8850.1;9449.7
31;1.07;1.07;0.112;0.061;69.4;69.8;8972.2;9449.7
32;1.07;1.07;0.110;0.063;69.7;69.7;8996.0;9449.7
33;1.07;1.07;0.119;0.065;69.4;69.6;8898.3;9449.7
34;1.08;1.07;0.118;0.067;69.2;69.4;8916.4;9449.7
35;1.08;1.07;0.120;0.069;69.0;69.3;8895.3;9449.7
36;1.08;1.08;0.118;0.071;69.1;69.1;8911.2;9449.6
37;1.07;1.08;0.121;0.073;69.3;69.0;8878.0;9449.6
38;1.07;1.08;0.117;0.075;69.6;68.8;8925.7;9449.6
39;1.06;1.08;0.109;0.076;70.0;68.7;9005.0;9449.6
40;1.07;1.09;0.116;0.078;69.7;68.6;8937.1;9449.6
41;1.06;1.09;0.108;0.080;70.4;68.4;9009.3;9449.6
42;1.06;1.09;0.112;0.082;70.1;68.3;8975.6;9449.6
43;1.07;1.09;0.120;0.084;69.4;68.2;8890.8;9449.5
44;1.08;1.09;0.128;0.086;68.8;68.0;8811.5;9449.5
45;1.07;1.10;0.118;0.087;69.7;67.9;8916.7;9449.5
46;1.07;1.10;0.117;0.089;69.7;67.7;8919.2;9449.5
47;1.08;1.10;0.125;0.091;69.0;67.6;8845.0;9449.5
48;1.07;1.10;0.120;0.093;69.5;67.5;8894.7;9449.5
