#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;5002.3;5002.3;633615.8;633401.3
2;1.96;1.48;0.483;0.321;2550.6;3379.6;327384.7;483522.9
3;2.77;1.96;0.627;0.485;1806.3;2551.8;236128.1;433563.4
4;3.58;2.44;0.708;0.585;1399.2;2049.7;184888.9;408583.7
5;4.20;2.92;0.747;0.651;1190.7;1712.8;160263.1;393595.8
6;4.79;3.40;0.776;0.699;1044.3;1470.9;142164.3;383604.0
7;5.39;3.88;0.797;0.735;928.6;1289.0;128322.5;376466.9
8;6.01;4.36;0.816;0.763;831.8;1147.0;116409.9;371114.1
9;6.60;4.84;0.830;0.786;758.4;1033.3;107541.4;366950.8
10;7.27;5.32;0.845;0.804;687.8;940.0;98441.7;363620.2
11;7.73;5.80;0.853;0.820;647.5;862.2;93269.0;360895.1
12;8.27;6.28;0.862;0.833;604.7;796.3;87500.9;358624.2
13;8.77;6.76;0.867;0.844;570.2;739.8;84047.4;356702.7
14;9.28;7.24;0.874;0.854;539.2;690.7;79676.3;355055.7
15;9.96;7.72;0.881;0.862;502.2;647.8;75184.9;353628.3
16;10.69;8.20;0.889;0.870;468.0;609.9;70554.8;352379.3
17;10.77;8.68;0.889;0.876;464.6;576.1;70168.8;351277.2
18;11.68;9.16;0.897;0.882;428.1;546.0;65072.4;350297.6
19;11.70;9.64;0.898;0.888;427.4;518.8;64357.6;349421.2
20;12.77;10.12;0.906;0.893;391.6;494.2;59728.9;348632.3
21;12.83;10.60;0.906;0.897;390.0;471.8;59538.6;347918.6
22;12.88;11.08;0.906;0.901;388.4;451.3;59685.4;347269.8
23;14.12;11.56;0.913;0.905;354.3;432.6;55252.5;346677.4
24;14.18;12.04;0.913;0.908;352.7;415.4;54971.7;346134.4
25;14.17;12.52;0.913;0.911;353.1;399.4;54937.3;345634.8
26;14.39;13.00;0.914;0.914;347.5;384.7;54365.1;345173.6
27;15.80;13.48;0.920;0.917;316.7;371.0;50419.0;344746.6
28;15.73;13.96;0.920;0.920;318.1;358.2;50513.7;344350.1
29;15.74;14.44;0.920;0.922;317.9;346.3;50473.1;343980.9
30;15.71;14.92;0.920;0.924;318.5;335.2;50477.4;343636.4
31;15.85;15.40;0.921;0.926;315.5;324.7;49940.7;343314.1
32;17.58;15.88;0.928;0.928;284.6;314.9;45779.4;343011.9
33;17.62;16.36;0.928;0.930;283.9;305.7;45673.2;342728.0
34;17.60;16.84;0.928;0.932;284.2;297.0;45629.4;342460.9
35;17.53;17.33;0.928;0.933;285.3;288.7;45769.4;342209.0
36;17.57;17.81;0.928;0.935;284.8;280.9;45727.5;341971.1
37;17.47;18.29;0.928;0.936;286.3;273.6;45684.3;341746.0
38;17.40;18.77;0.927;0.938;287.5;266.6;45963.5;341532.8
39;17.92;19.25;0.929;0.939;279.2;259.9;44816.2;341330.6
40;19.86;19.73;0.935;0.940;251.8;253.6;41094.8;341138.4
41;19.74;20.21;0.935;0.942;253.4;247.6;41325.7;340955.6
42;19.83;20.69;0.935;0.943;252.3;241.8;41095.4;340781.6
43;19.66;21.17;0.935;0.944;254.4;236.3;41270.0;340615.6
44;19.65;21.65;0.935;0.945;254.5;231.1;41188.8;340457.1
45;19.57;22.13;0.935;0.946;255.6;226.1;41259.8;340305.8
46;19.52;22.61;0.935;0.947;256.3;221.3;41193.4;340160.9
47;19.33;23.09;0.935;0.948;258.9;216.7;41413.1;340022.3
48;19.35;23.57;0.935;0.949;258.6;212.3;41410.4;339889.4
