#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;205.4;205.4;16834.7;12975.6
2;1.90;1.88;0.443;0.449;108.0;109.1;9377.6;7174.3
3;2.61;2.67;0.581;0.599;78.7;77.0;7054.8;5240.5
4;3.31;3.37;0.658;0.674;62.0;60.9;5750.0;4273.7
5;3.88;4.01;0.702;0.719;53.0;51.3;5024.7;3693.5
6;4.39;4.58;0.731;0.749;46.8;44.9;4524.7;3306.8
7;4.84;5.10;0.751;0.770;42.5;40.3;4189.2;3030.5
8;5.28;5.58;0.770;0.786;38.9;36.8;3878.5;2823.4
9;5.80;6.01;0.787;0.799;35.4;34.2;3590.4;2662.2
10;6.31;6.41;0.800;0.809;32.6;32.0;3369.3;2533.3
11;6.34;6.79;0.802;0.817;32.4;30.3;3330.8;2427.8
12;6.73;7.13;0.814;0.824;30.5;28.8;3131.5;2339.9
13;7.17;7.45;0.824;0.829;28.6;27.6;2962.1;2265.5
14;7.54;7.75;0.831;0.834;27.2;26.5;2846.5;2201.8
15;7.95;8.02;0.839;0.838;25.9;25.6;2707.4;2146.5
16;8.30;8.28;0.846;0.842;24.8;24.8;2591.1;2098.2
17;8.66;8.53;0.852;0.846;23.7;24.1;2488.1;2055.5
18;8.98;8.76;0.857;0.848;22.9;23.5;2415.1;2017.6
19;9.35;8.97;0.861;0.851;22.0;22.9;2347.6;1983.7
20;9.69;9.17;0.864;0.853;21.2;22.4;2284.7;1953.2
