#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;132.3;132.3;11771.9;8407.8
2;1.88;1.67;0.406;0.384;70.2;79.3;6989.2;5215.8
3;2.61;2.15;0.539;0.512;50.7;61.6;5427.0;4151.9
4;3.15;2.51;0.596;0.576;42.0;52.8;4753.8;3619.9
5;3.53;2.79;0.625;0.614;37.5;47.5;4417.6;3300.7
6;3.73;3.01;0.636;0.640;35.4;44.0;4290.8;3087.9
7;3.88;3.19;0.640;0.658;34.1;41.4;4235.5;2935.9
8;3.98;3.34;0.644;0.671;33.2;39.6;4186.3;2821.9
9;4.04;3.47;0.640;0.682;32.8;38.1;4242.4;2733.2
10;4.07;3.59;0.633;0.691;32.5;36.9;4315.9;2662.3
11;3.09;3.68;0.544;0.698;42.8;35.9;5368.3;2604.2
12;3.29;3.77;0.566;0.703;40.2;35.1;5111.1;2555.9
13;3.49;3.84;0.584;0.708;38.0;34.5;4891.2;2515.0
14;3.64;3.91;0.598;0.713;36.3;33.9;4729.4;2479.9
15;3.77;3.96;0.608;0.716;35.1;33.4;4611.6;2449.5
16;3.86;4.02;0.615;0.719;34.3;32.9;4529.2;2422.9
17;3.91;4.07;0.618;0.722;33.9;32.5;4498.2;2399.4
18;3.94;4.11;0.620;0.725;33.5;32.2;4473.5;2378.5
19;3.97;4.15;0.621;0.727;33.4;31.9;4460.2;2359.9
20;3.98;4.19;0.621;0.729;33.3;31.6;4457.6;2343.1
