#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;384.1;384.1;30530.0;24233.8
2;1.96;1.94;0.456;0.464;195.6;198.0;16615.1;13024.5
3;2.78;2.82;0.600;0.619;138.3;136.0;12217.2;9288.0
4;3.61;3.66;0.679;0.696;106.4;105.0;9798.4;7419.8
5;4.30;4.45;0.723;0.743;89.3;86.4;8458.3;6298.9
6;4.94;5.19;0.752;0.773;77.8;73.9;7556.8;5551.6
7;5.56;5.90;0.776;0.796;69.1;65.1;6841.0;5017.8
8;6.19;6.57;0.795;0.812;62.1;58.4;6254.2;4617.5
9;6.96;7.21;0.812;0.825;55.2;53.3;5737.6;4306.1
10;7.74;7.82;0.825;0.835;49.6;49.1;5336.9;4057.0
11;7.74;8.40;0.825;0.844;49.6;45.7;5353.9;3853.2
12;8.36;8.95;0.835;0.851;45.9;42.9;5026.8;3683.4
13;8.96;9.47;0.845;0.857;42.9;40.5;4723.0;3539.7
14;9.57;9.98;0.854;0.862;40.1;38.5;4445.6;3416.5
15;10.25;10.46;0.862;0.866;37.5;36.7;4200.6;3309.7
16;10.85;10.92;0.869;0.870;35.4;35.2;3989.6;3216.3
17;11.29;11.36;0.874;0.874;34.0;33.8;3843.4;3133.9
18;12.16;11.79;0.882;0.877;31.6;32.6;3596.3;3060.6
19;12.83;12.19;0.888;0.879;29.9;31.5;3428.1;2995.1
20;13.32;12.59;0.891;0.882;28.8;30.5;3321.6;2936.1
