#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;34.3;34.3;3003.8;2179.4
2;1.79;1.68;0.380;0.389;19.2;20.4;1863.6;1339.9
3;2.17;2.18;0.468;0.519;15.8;15.7;1599.2;1060.1
4;2.83;2.56;0.562;0.584;12.1;13.4;1315.2;920.2
5;3.36;2.86;0.619;0.623;10.2;12.0;1145.1;836.2
6;3.70;3.10;0.635;0.649;9.3;11.1;1095.3;780.3
7;3.67;3.29;0.629;0.667;9.3;10.4;1113.4;740.3
8;3.83;3.46;0.628;0.681;9.0;9.9;1116.8;710.3
9;4.02;3.60;0.636;0.692;8.5;9.5;1094.3;687.0
10;4.13;3.72;0.642;0.700;8.3;9.2;1076.1;668.3
11;3.65;3.83;0.612;0.707;9.4;9.0;1165.2;653.1
12;3.79;3.92;0.622;0.713;9.1;8.8;1136.1;640.3
13;3.90;4.00;0.630;0.718;8.8;8.6;1111.2;629.6
14;3.98;4.07;0.630;0.723;8.6;8.4;1111.1;620.4
15;4.06;4.14;0.628;0.726;8.4;8.3;1116.6;612.4
16;4.04;4.20;0.639;0.730;8.5;8.2;1085.6;605.4
17;4.08;4.25;0.628;0.732;8.4;8.1;1117.0;599.2
18;4.07;4.30;0.636;0.735;8.4;8.0;1092.0;593.7
19;4.11;4.34;0.631;0.737;8.3;7.9;1108.2;588.8
20;4.11;4.38;0.626;0.739;8.3;7.8;1123.9;584.4
