#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;17.3;17.3;1500.3;1139.9
2;1.07;1.01;0.057;0.006;16.2;17.2;1414.5;1133.8
3;1.00;1.01;0.000;0.008;17.3;17.2;1499.9;1131.7
4;1.07;1.01;0.052;0.008;16.2;17.2;1421.8;1130.7
5;1.02;1.01;0.020;0.009;16.9;17.2;1470.9;1130.1
6;1.05;1.01;0.037;0.009;16.6;17.2;1444.4;1129.6
7;1.02;1.01;0.019;0.010;16.9;17.2;1471.4;1129.4
8;1.03;1.01;0.022;0.010;16.8;17.2;1467.3;1129.1
9;1.02;1.01;0.014;0.010;17.0;17.2;1479.2;1129.0
10;1.01;1.01;0.005;0.010;17.1;17.2;1492.7;1128.8
11;1.02;1.01;0.009;0.010;17.0;17.2;1486.9;1128.7
12;1.01;1.01;0.002;0.010;17.1;17.2;1497.0;1128.6
13;0.99;1.01;-0.014;0.010;17.5;17.2;1521.3;1128.5
14;1.00;1.01;-0.011;0.010;17.4;17.1;1516.5;1128.5
15;0.98;1.01;-0.021;0.011;17.6;17.1;1531.7;1128.4
16;1.00;1.01;-0.003;0.011;17.3;17.1;1505.2;1128.4
17;0.97;1.01;-0.036;0.011;17.8;17.1;1555.0;1128.3
18;0.97;1.01;-0.037;0.011;17.9;17.1;1556.3;1128.3
19;1.00;1.01;-0.014;0.011;17.4;17.1;1521.9;1128.2
20;1.00;1.01;-0.005;0.011;17.3;17.1;1508.1;1128.2
