#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;21.1;21.1;1787.8;1348.8
2;1.49;1.45;0.291;0.298;14.1;14.5;1267.3;953.8
3;1.84;1.71;0.398;0.398;11.4;12.3;1076.0;822.2
4;1.87;1.88;0.399;0.447;11.2;11.2;1074.8;756.4
5;1.96;1.99;0.400;0.477;10.7;10.6;1072.6;716.9
6;1.87;2.08;0.370;0.497;11.2;10.1;1125.8;690.5
7;2.22;2.14;0.451;0.511;9.5;9.8;981.3;671.7
8;1.90;2.20;0.360;0.522;11.1;9.6;1144.2;657.6
9;1.99;2.24;0.375;0.530;10.6;9.4;1117.7;646.7
10;2.04;2.28;0.375;0.537;10.3;9.3;1118.1;637.9
11;2.14;2.30;0.395;0.542;9.9;9.1;1082.1;630.7
12;2.17;2.33;0.420;0.547;9.7;9.0;1036.3;624.7
13;2.32;2.35;0.455;0.551;9.1;9.0;975.1;619.7
14;2.40;2.37;0.476;0.554;8.8;8.9;936.5;615.3
15;2.40;2.39;0.473;0.557;8.8;8.8;941.5;611.6
16;2.54;2.40;0.496;0.559;8.3;8.8;901.2;608.3
17;2.44;2.42;0.481;0.561;8.6;8.7;928.6;605.4
18;2.63;2.43;0.518;0.563;8.0;8.7;861.3;602.8
19;2.75;2.44;0.540;0.565;7.7;8.6;822.6;600.5
20;2.73;2.45;0.509;0.567;7.7;8.6;877.3;598.4
