#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;161.0;161.0;12957.8;10161.2
2;1.95;1.91;0.446;0.457;82.5;84.1;7180.0;5531.9
3;2.70;2.75;0.584;0.610;59.7;58.5;5396.6;3988.8
4;3.48;3.52;0.664;0.686;46.3;45.7;4354.0;3217.3
5;4.23;4.24;0.714;0.732;38.0;38.0;3706.0;2754.3
6;4.84;4.90;0.745;0.762;33.2;32.9;3307.1;2445.7
7;5.48;5.51;0.769;0.784;29.4;29.2;2997.6;2225.3
8;6.03;6.08;0.787;0.800;26.7;26.5;2757.4;2059.9
9;6.74;6.62;0.803;0.813;23.9;24.3;2546.6;1931.3
10;7.45;7.12;0.818;0.823;21.6;22.6;2363.5;1828.5
11;7.12;7.59;0.811;0.832;22.6;21.2;2452.4;1744.3
12;7.63;8.03;0.822;0.839;21.1;20.1;2307.2;1674.2
13;7.98;8.44;0.827;0.844;20.2;19.1;2236.9;1614.8
14;8.48;8.83;0.836;0.849;19.0;18.2;2125.5;1563.9
15;9.06;9.20;0.845;0.854;17.8;17.5;2010.4;1519.8
16;9.41;9.55;0.849;0.858;17.1;16.9;1959.3;1481.3
17;9.87;9.88;0.854;0.861;16.3;16.3;1886.8;1447.2
18;10.36;10.20;0.860;0.864;15.5;15.8;1817.8;1417.0
19;10.86;10.50;0.866;0.867;14.8;15.3;1742.6;1389.9
20;11.33;10.78;0.869;0.869;14.2;14.9;1691.5;1365.5
