#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;11.4;11.4;950.0;730.2
2;1.39;1.37;0.257;0.258;8.2;8.3;706.0;545.8
3;1.58;1.56;0.338;0.344;7.2;7.3;629.3;484.4
4;1.69;1.68;0.372;0.387;6.7;6.8;596.4;453.6
5;1.77;1.76;0.411;0.413;6.4;6.5;559.7;435.2
6;1.85;1.82;0.428;0.430;6.2;6.3;543.0;422.9
7;1.87;1.86;0.462;0.442;6.1;6.1;511.0;414.1
8;1.93;1.89;0.480;0.452;5.9;6.0;493.7;407.5
9;1.97;1.92;0.493;0.459;5.8;5.9;481.8;402.4
10;2.00;1.94;0.501;0.465;5.7;5.8;474.4;398.3
11;1.88;1.96;0.434;0.469;6.0;5.8;537.3;395.0
12;1.91;1.98;0.458;0.473;6.0;5.7;515.3;392.2
13;1.95;1.99;0.466;0.477;5.8;5.7;507.2;389.8
14;1.98;2.00;0.450;0.479;5.7;5.7;522.6;387.8
15;2.00;2.01;0.450;0.482;5.7;5.6;522.3;386.0
16;2.00;2.02;0.499;0.484;5.7;5.6;475.8;384.5
17;2.01;2.03;0.502;0.486;5.7;5.6;473.3;383.1
18;2.05;2.04;0.466;0.488;5.5;5.6;507.5;381.9
19;2.07;2.04;0.515;0.489;5.5;5.6;460.9;380.9
20;2.08;2.05;0.510;0.490;5.5;5.5;465.6;379.9
