#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;524.0;524.0;45874.2;33329.9
2;1.91;1.64;0.425;0.373;273.8;319.8;26375.6;21032.5
3;2.49;2.08;0.533;0.498;210.2;251.7;21440.0;16933.3
4;3.28;2.41;0.618;0.560;159.9;217.7;17525.8;14883.8
5;3.73;2.66;0.647;0.597;140.6;197.3;16194.8;13654.0
6;3.80;2.85;0.642;0.622;137.8;183.7;16413.1;12834.2
7;4.01;3.01;0.648;0.640;130.6;173.9;16165.5;12248.6
8;4.02;3.14;0.642;0.653;130.3;166.6;16445.3;11809.4
9;3.94;3.26;0.624;0.664;132.9;161.0;17234.4;11467.8
10;3.81;3.35;0.599;0.672;137.6;156.4;18381.4;11194.5
11;3.15;3.43;0.559;0.679;166.2;152.7;20247.6;10970.9
12;3.28;3.50;0.569;0.684;159.9;149.6;19780.4;10784.6
13;3.34;3.56;0.569;0.689;156.8;147.0;19784.1;10627.0
14;3.37;3.62;0.567;0.693;155.4;144.8;19842.4;10491.8
15;3.40;3.67;0.567;0.697;154.0;142.8;19883.6;10374.7
16;3.39;3.71;0.562;0.700;154.4;141.1;20091.9;10272.2
17;3.36;3.75;0.555;0.703;156.1;139.6;20436.9;10181.8
18;3.34;3.79;0.551;0.705;156.6;138.3;20598.6;10101.4
19;3.34;3.82;0.545;0.707;157.0;137.1;20856.8;10029.5
20;3.30;3.85;0.537;0.709;158.7;136.0;21249.7;9964.8
