#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;205.4;205.4;16834.7;13225.0
2;1.90;1.50;0.443;0.319;108.0;136.9;9377.6;10133.2
3;2.61;2.00;0.581;0.479;78.7;102.7;7054.8;9102.6
4;3.31;2.50;0.658;0.575;62.0;82.2;5750.0;8587.3
5;3.88;3.00;0.702;0.639;53.0;68.5;5024.7;8278.1
6;4.39;3.50;0.731;0.684;46.8;58.7;4524.7;8072.0
7;4.84;4.00;0.751;0.718;42.5;51.4;4189.2;7924.8
8;5.28;4.50;0.770;0.745;38.9;45.7;3878.5;7814.4
9;5.80;5.00;0.787;0.766;35.4;41.1;3590.4;7728.5
10;6.31;5.50;0.800;0.784;32.6;37.4;3369.3;7659.8
11;6.34;6.00;0.802;0.798;32.4;34.2;3330.8;7603.6
12;6.73;6.50;0.814;0.810;30.5;31.6;3131.5;7556.7
13;7.17;7.00;0.824;0.821;28.6;29.4;2962.1;7517.1
14;7.54;7.50;0.831;0.830;27.2;27.4;2846.5;7483.1
15;7.95;8.00;0.839;0.838;25.9;25.7;2707.4;7453.6
16;8.30;8.50;0.846;0.845;24.8;24.2;2591.1;7427.9
17;8.66;9.00;0.852;0.851;23.7;22.8;2488.1;7405.1
18;8.98;9.50;0.857;0.857;22.9;21.6;2415.1;7384.9
19;9.35;10.00;0.861;0.862;22.0;20.5;2347.6;7366.9
20;9.69;10.50;0.864;0.867;21.2;19.6;2284.7;7350.6
