#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;900.4;900.4;76386.1;58279.7
2;1.89;1.38;0.427;0.262;476.9;653.7;43806.3;48045.5
3;2.49;1.75;0.548;0.412;361.3;513.1;34528.9;44634.1
4;3.24;2.13;0.636;0.509;277.6;422.3;27837.9;42928.4
5;3.84;2.51;0.680;0.576;234.4;358.8;24436.0;41905.0
6;4.37;2.89;0.710;0.626;205.9;311.9;22119.1;41222.7
7;4.90;3.26;0.735;0.664;183.7;275.8;20274.0;40735.4
8;5.42;3.64;0.755;0.695;166.0;247.2;18685.9;40369.8
9;5.95;4.02;0.769;0.720;151.3;224.0;17650.8;40085.6
10;6.58;4.40;0.783;0.740;136.8;204.8;16552.8;39858.1
11;5.02;4.77;0.738;0.757;179.5;188.6;20036.5;39672.1
12;5.15;5.15;0.741;0.772;174.7;174.8;19768.8;39517.0
13;5.37;5.53;0.748;0.785;167.8;162.8;19267.8;39385.8
14;5.57;5.91;0.753;0.796;161.7;152.4;18890.0;39273.3
15;5.83;6.28;0.760;0.805;154.4;143.3;18317.1;39175.9
16;6.17;6.66;0.769;0.814;145.9;135.2;17675.9;39090.6
17;6.30;7.04;0.771;0.822;142.9;127.9;17460.7;39015.3
18;6.63;7.42;0.779;0.829;135.7;121.4;16905.5;38948.4
19;6.91;7.79;0.784;0.835;130.4;115.5;16534.5;38888.6
20;7.28;8.17;0.789;0.841;123.6;110.2;16092.5;38834.7
