#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;132.3;132.3;11771.9;8624.0
2;1.88;1.21;0.406;0.167;70.2;109.2;6989.2;7780.5
3;2.61;1.42;0.539;0.285;50.7;92.9;5427.0;7499.3
4;3.15;1.64;0.596;0.372;42.0;80.9;4753.8;7358.7
5;3.53;1.85;0.625;0.439;37.5;71.6;4417.6;7274.4
6;3.73;2.06;0.636;0.493;35.4;64.3;4290.8;7218.1
7;3.88;2.27;0.640;0.536;34.1;58.3;4235.5;7178.0
8;3.98;2.48;0.644;0.572;33.2;53.3;4186.3;7147.8
9;4.04;2.69;0.640;0.602;32.8;49.1;4242.4;7124.4
10;4.07;2.91;0.633;0.628;32.5;45.5;4315.9;7105.7
11;3.09;3.12;0.544;0.651;42.8;42.4;5368.3;7090.3
12;3.29;3.33;0.566;0.670;40.2;39.7;5111.1;7077.5
13;3.49;3.54;0.584;0.687;38.0;37.4;4891.2;7066.7
14;3.64;3.75;0.598;0.703;36.3;35.3;4729.4;7057.5
15;3.77;3.96;0.608;0.716;35.1;33.4;4611.6;7049.4
16;3.86;4.18;0.615;0.728;34.3;31.7;4529.2;7042.4
17;3.91;4.39;0.618;0.740;33.9;30.2;4498.2;7036.2
18;3.94;4.60;0.620;0.750;33.5;28.8;4473.5;7030.7
19;3.97;4.81;0.621;0.759;33.4;27.5;4460.2;7025.8
20;3.98;5.02;0.621;0.767;33.3;26.3;4457.6;7021.3
