#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;384.1;384.1;30530.0;24553.7
2;1.96;1.67;0.456;0.384;195.6;230.2;16615.1;16819.8
3;2.78;2.34;0.600;0.548;138.3;164.4;12217.2;14241.8
4;3.61;3.01;0.679;0.639;106.4;127.8;9798.4;12952.8
5;4.30;3.67;0.723;0.697;89.3;104.5;8458.3;12179.4
6;4.94;4.34;0.752;0.737;77.8;88.5;7556.8;11663.8
7;5.56;5.01;0.776;0.767;69.1;76.7;6841.0;11295.5
8;6.19;5.68;0.795;0.789;62.1;67.6;6254.2;11019.3
9;6.96;6.35;0.812;0.807;55.2;60.5;5737.6;10804.5
10;7.74;7.02;0.825;0.821;49.6;54.7;5336.9;10632.6
11;7.74;7.69;0.825;0.833;49.6;50.0;5353.9;10492.0
12;8.36;8.35;0.835;0.843;45.9;46.0;5026.8;10374.8
13;8.96;9.02;0.845;0.852;42.9;42.6;4723.0;10275.6
14;9.57;9.69;0.854;0.859;40.1;39.6;4445.6;10190.6
15;10.25;10.36;0.862;0.865;37.5;37.1;4200.6;10117.0
16;10.85;11.03;0.869;0.871;35.4;34.8;3989.6;10052.5
17;11.29;11.70;0.874;0.876;34.0;32.8;3843.4;9995.7
18;12.16;12.37;0.882;0.880;31.6;31.1;3596.3;9945.1
19;12.83;13.03;0.888;0.884;29.9;29.5;3428.1;9899.9
20;13.32;13.70;0.891;0.888;28.8;28.0;3321.6;9859.2
