#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;34.3;34.3;3003.8;2235.2
2;1.79;1.22;0.380;0.176;19.2;28.0;1863.6;2002.9
3;2.17;1.45;0.468;0.297;15.8;23.7;1599.2;1925.4
4;2.83;1.67;0.562;0.386;12.1;20.5;1315.2;1886.7
5;3.36;1.90;0.619;0.454;10.2;18.1;1145.1;1863.4
6;3.70;2.12;0.635;0.507;9.3;16.1;1095.3;1847.9
7;3.67;2.35;0.629;0.550;9.3;14.6;1113.4;1836.9
8;3.83;2.57;0.628;0.586;9.0;13.3;1116.8;1828.6
9;4.02;2.80;0.636;0.616;8.5;12.3;1094.3;1822.1
10;4.13;3.02;0.642;0.641;8.3;11.3;1076.1;1816.9
11;3.65;3.25;0.612;0.663;9.4;10.6;1165.2;1812.7
12;3.79;3.47;0.622;0.682;9.1;9.9;1136.1;1809.2
13;3.90;3.70;0.630;0.699;8.8;9.3;1111.2;1806.2
14;3.98;3.92;0.630;0.714;8.6;8.7;1111.1;1803.7
15;4.06;4.15;0.628;0.727;8.4;8.3;1116.6;1801.4
16;4.04;4.37;0.639;0.739;8.5;7.8;1085.6;1799.5
17;4.08;4.60;0.628;0.750;8.4;7.5;1117.0;1797.8
18;4.07;4.82;0.636;0.759;8.4;7.1;1092.0;1796.3
19;4.11;5.05;0.631;0.768;8.3;6.8;1108.2;1794.9
20;4.11;5.27;0.626;0.776;8.3;6.5;1123.9;1793.7
