#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;17.3;17.3;1500.3;1140.5
2;1.07;1.00;0.057;0.000;16.2;17.3;1414.5;1140.4
3;1.00;1.00;0.000;0.000;17.3;17.3;1499.9;1140.4
4;1.07;1.00;0.052;0.000;16.2;17.3;1421.8;1140.4
5;1.02;1.00;0.020;0.000;16.9;17.3;1470.9;1140.4
6;1.05;1.00;0.037;0.000;16.6;17.3;1444.4;1140.4
7;1.02;1.00;0.019;0.001;16.9;17.3;1471.4;1140.4
8;1.03;1.00;0.022;0.001;16.8;17.3;1467.3;1140.4
9;1.02;1.00;0.014;0.001;17.0;17.3;1479.2;1140.4
10;1.01;1.00;0.005;0.001;17.1;17.3;1492.7;1140.4
11;1.02;1.00;0.009;0.001;17.0;17.3;1486.9;1140.4
12;1.01;1.00;0.002;0.001;17.1;17.3;1497.0;1140.4
13;0.99;1.00;-0.014;0.001;17.5;17.3;1521.3;1140.4
14;1.00;1.00;-0.011;0.001;17.4;17.3;1516.5;1140.4
15;0.98;1.00;-0.021;0.001;17.6;17.3;1531.7;1140.4
16;1.00;1.00;-0.003;0.001;17.3;17.3;1505.2;1140.4
17;0.97;1.00;-0.036;0.002;17.8;17.3;1555.0;1140.4
18;0.97;1.00;-0.037;0.002;17.9;17.3;1556.3;1140.4
19;1.00;1.00;-0.014;0.002;17.4;17.3;1521.9;1140.4
20;1.00;1.00;-0.005;0.002;17.3;17.3;1508.1;1140.4
