#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;21.1;21.1;1787.8;1379.0
2;1.49;1.11;0.291;0.091;14.1;19.1;1267.3;1312.3
3;1.84;1.21;0.398;0.167;11.4;17.4;1076.0;1290.1
4;1.87;1.32;0.399;0.230;11.2;16.0;1074.8;1278.9
5;1.96;1.42;0.400;0.284;10.7;14.8;1072.6;1272.3
6;1.87;1.53;0.370;0.330;11.2;13.8;1125.8;1267.8
7;2.22;1.63;0.451;0.371;9.5;12.9;981.3;1264.6
8;1.90;1.74;0.360;0.406;11.1;12.1;1144.2;1262.2
9;1.99;1.84;0.375;0.438;10.6;11.4;1117.7;1260.4
10;2.04;1.95;0.375;0.466;10.3;10.8;1118.1;1258.9
11;2.14;2.05;0.395;0.491;9.9;10.3;1082.1;1257.7
12;2.17;2.16;0.420;0.514;9.7;9.8;1036.3;1256.7
13;2.32;2.26;0.455;0.534;9.1;9.3;975.1;1255.8
14;2.40;2.37;0.476;0.553;8.8;8.9;936.5;1255.1
15;2.40;2.47;0.473;0.571;8.8;8.5;941.5;1254.5
16;2.54;2.58;0.496;0.586;8.3;8.2;901.2;1253.9
17;2.44;2.68;0.481;0.601;8.6;7.8;928.6;1253.4
18;2.63;2.79;0.518;0.614;8.0;7.6;861.3;1253.0
19;2.75;2.89;0.540;0.627;7.7;7.3;822.6;1252.6
20;2.73;3.00;0.509;0.638;7.7;7.0;877.3;1252.2
