#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;161.0;161.0;12957.8;10327.4
2;1.95;1.58;0.446;0.353;82.5;101.7;7180.0;7504.0
3;2.70;2.16;0.584;0.515;59.7;74.4;5396.6;6562.8
4;3.48;2.75;0.664;0.609;46.3;58.6;4354.0;6092.3
5;4.23;3.33;0.714;0.670;38.0;48.3;3706.0;5809.9
6;4.84;3.91;0.745;0.713;33.2;41.1;3307.1;5621.7
7;5.48;4.49;0.769;0.745;29.4;35.8;2997.6;5487.2
8;6.03;5.08;0.787;0.769;26.7;31.7;2757.4;5386.4
9;6.74;5.66;0.803;0.789;23.9;28.4;2546.6;5308.0
10;7.45;6.24;0.818;0.804;21.6;25.8;2363.5;5245.2
11;7.12;6.82;0.811;0.818;22.6;23.6;2452.4;5193.9
12;7.63;7.41;0.822;0.829;21.1;21.7;2307.2;5151.1
13;7.98;7.99;0.827;0.838;20.2;20.1;2236.9;5114.9
14;8.48;8.57;0.836;0.846;19.0;18.8;2125.5;5083.9
15;9.06;9.15;0.845;0.853;17.8;17.6;2010.4;5057.0
16;9.41;9.74;0.849;0.859;17.1;16.5;1959.3;5033.5
17;9.87;10.32;0.854;0.865;16.3;15.6;1886.8;5012.7
18;10.36;10.90;0.860;0.870;15.5;14.8;1817.8;4994.3
19;10.86;11.48;0.866;0.874;14.8;14.0;1742.6;4977.7
20;11.33;12.07;0.869;0.878;14.2;13.3;1691.5;4962.9
