#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;11.4;11.4;950.0;744.8
2;1.39;1.07;0.257;0.067;8.2;10.6;706.0;719.2
3;1.58;1.15;0.338;0.125;7.2;9.9;629.3;710.6
4;1.69;1.22;0.372;0.176;6.7;9.3;596.4;706.4
5;1.77;1.30;0.411;0.221;6.4;8.7;559.7;703.8
6;1.85;1.37;0.428;0.261;6.2;8.3;543.0;702.1
7;1.87;1.45;0.462;0.297;6.1;7.8;511.0;700.9
8;1.93;1.52;0.480;0.329;5.9;7.5;493.7;700.0
9;1.97;1.60;0.493;0.359;5.8;7.1;481.8;699.3
10;2.00;1.67;0.501;0.386;5.7;6.8;474.4;698.7
11;1.88;1.75;0.434;0.410;6.0;6.5;537.3;698.2
12;1.91;1.82;0.458;0.433;6.0;6.2;515.3;697.8
13;1.95;1.90;0.466;0.453;5.8;6.0;507.2;697.5
14;1.98;1.97;0.450;0.473;5.7;5.8;522.6;697.2
15;2.00;2.05;0.450;0.490;5.7;5.5;522.3;697.0
16;2.00;2.12;0.499;0.507;5.7;5.3;475.8;696.8
17;2.01;2.20;0.502;0.522;5.7;5.2;473.3;696.6
18;2.05;2.27;0.466;0.537;5.5;5.0;507.5;696.4
19;2.07;2.35;0.515;0.550;5.5;4.8;460.9;696.3
20;2.08;2.42;0.510;0.563;5.5;4.7;465.6;696.1
