#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;524.0;524.0;45874.2;34190.1
2;1.91;1.19;0.425;0.151;273.8;441.4;26375.6;31237.7
3;2.49;1.37;0.533;0.261;210.2;381.3;21440.0;30253.5
4;3.28;1.56;0.618;0.344;159.9;335.6;17525.8;29761.4
5;3.73;1.75;0.647;0.410;140.6;299.7;16194.8;29466.2
6;3.80;1.94;0.642;0.463;137.8;270.7;16413.1;29269.4
7;4.01;2.12;0.648;0.507;130.6;246.8;16165.5;29128.8
8;4.02;2.31;0.642;0.543;130.3;226.8;16445.3;29023.3
9;3.94;2.50;0.624;0.574;132.9;209.8;17234.4;28941.3
10;3.81;2.68;0.599;0.601;137.6;195.2;18381.4;28875.7
11;3.15;2.87;0.559;0.624;166.2;182.5;20247.6;28822.0
12;3.28;3.06;0.569;0.645;159.9;171.3;19780.4;28777.3
13;3.34;3.25;0.569;0.663;156.8;161.4;19784.1;28739.4
14;3.37;3.43;0.567;0.679;155.4;152.6;19842.4;28707.0
15;3.40;3.62;0.567;0.693;154.0;144.8;19883.6;28678.9
16;3.39;3.81;0.562;0.706;154.4;137.6;20091.9;28654.3
17;3.36;3.99;0.555;0.718;156.1;131.2;20436.9;28632.6
18;3.34;4.18;0.551;0.729;156.6;125.3;20598.6;28613.3
19;3.34;4.37;0.545;0.739;157.0;120.0;20856.8;28596.0
20;3.30;4.56;0.537;0.748;158.7;115.0;21249.7;28580.5
