#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.10GHz;224.33;24.1;86760.0;392.577828054;
1;2;2.10GHz;117.43;12.7;45720.0;396.742105263;
1;3;2.10GHz;83.54;9.0;32400.0;401.70125;
1;4;2.10GHz;65.86;7.2;25920.0;406.207936508;
1;5;2.10GHz;55.85;6.2;22320.0;410.086792453;
1;6;2.10GHz;48.68;5.4;19440.0;413.408695652;
1;7;2.10GHz;43.55;4.9;17640.0;416.165853659;
1;8;2.10GHz;40.2;4.4;15840.0;419.456756757;
1;9;2.10GHz;37.31;4.1;14760.0;422.052941176;
1;10;2.10GHz;34.97;4.0;14400.0;422.066666667;
1;11;2.10GHz;32.76;3.7;13320.0;425.903333333;
1;12;2.10GHz;31.44;3.5;12600.0;429.346428571;
1;13;2.10GHz;30.05;3.4;12240.0;430.766666667;
1;14;2.10GHz;29.02;3.2;11520.0;431.973076923;
1;15;2.10GHz;28.06;3.10000000001;11160.0;433.124;
1;16;2.10GHz;27.1;3.0;10800.0;435.5875;
1;17;2.10GHz;26.18;2.9;10440.0;437.347826087;
1;18;2.10GHz;25.64;2.9;10440.0;437.830434783;
1;19;2.10GHz;25.89;2.9;10440.0;438.404347826;
1;20;2.10GHz;24.52;2.6;9359.99999999;442.361904762;
1;21;2.10GHz;24.05;2.7;9720.00000002;443.047619048;
1;22;2.10GHz;23.63;2.7;9719.99999999;443.723809524;
1;23;2.10GHz;23.19;2.6;9359.99999999;446.16;
1;24;2.10GHz;22.74;2.6;9359.99999999;446.125;
1;25;2.10GHz;22.53;2.5;9000.0;449.131578947;
1;26;2.10GHz;22.03;2.4;8640.00000001;448.063157895;
1;27;2.10GHz;21.88;2.5;9000.0;449.821052632;
1;28;2.10GHz;21.62;2.5;9000.0;449.436842105;
1;29;2.10GHz;21.41;2.39999999999;8639.99999998;452.872222222;
1;30;2.10GHz;21.23;2.3;8279.99999998;452.472222222;
1;31;2.10GHz;20.79;2.4;8640.00000001;449.747368421;
1;32;2.10GHz;20.88;2.39999999999;8639.99999998;452.961111111;
1;33;2.10GHz;20.48;2.3;8280.00000001;456.576470588;
1;34;2.10GHz;20.45;2.3;8280.00000001;457.064705882;
1;35;2.10GHz;20.42;2.3;8280.00000001;456.588235294;
1;36;2.10GHz;20.04;2.3;8279.99999998;457.011764706;
1;37;2.10GHz;19.94;2.2;7919.99999999;456.758823529;
1;38;2.10GHz;19.76;2.2;7920.00000002;456.111764706;
1;39;2.10GHz;19.59;2.2;7919.99999999;457.011764706;
1;40;2.10GHz;19.56;2.3;8280.00000001;456.770588235;
1;41;2.10GHz;19.59;2.3;8280.00000001;457.058823529;
1;42;2.10GHz;19.19;2.2;7919.99999999;461.88125;
1;43;2.10GHz;19.01;2.2;7920.00000002;460.98125;
1;44;2.10GHz;19.22;2.2;7919.99999999;460.50625;
1;45;2.10GHz;18.92;2.2;7920.00000002;461.03125;
1;46;2.10GHz;18.88;2.2;7919.99999999;460.26875;
1;47;2.10GHz;19.19;2.2;7919.99999999;461.325;
1;48;2.10GHz;18.95;2.2;7919.99999999;461.49375;
