#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.10GHz;1921.57;212.0;763200.0;394.931066946;
1;2;2.10GHz;996.93;111.8;402480.0;402.065415822;
1;3;2.10GHz;666.50;76.2;274320.0;410.218535127;
1;4;2.10GHz;503.46;58.8;211680.0;418.519367589;
1;5;2.10GHz;405.60;48.1;173160.0;426.112315271;
1;6;2.10GHz;341.80;41.3;148680.0;433.28128655;
1;7;2.10GHz;296.26;36.3;130680.0;440.880405405;
1;8;2.10GHz;277.02;34.2;123120.0;445.28115942;
1;9;2.10GHz;249.68;31.2;112320.0;451.82991453;
1;10;2.10GHz;227.19;28.7;103320.0;457.988262911;
1;11;2.10GHz;210.14;27.0;97200.0;464.070813397;
1;12;2.10GHz;194.35;25.3;91080.0;470.603108808;
1;13;2.10GHz;180.78;23.9;86040.0;477.075;
1;14;2.10GHz;168.31;22.5;81000.0;483.832934132;
1;15;2.10GHz;155.17;21.2;76320.0;491.843506494;
1;16;2.10GHz;140.55;19.5;70200.0;501.315827338;
1;17;2.10GHz;139.27;19.3;69480.0;503.453284672;
1;18;2.10GHz;132.34;18.8;67680.0;511.412977099;
1;19;2.10GHz;131.12;18.5;66600.0;511.872868217;
1;20;2.10GHz;120.96;17.4;62640.0;523.440336134;
1;21;2.10GHz;117.08;17.2;61920.0;527.406;
1;22;2.10GHz;121.97;17.6;63360.0;523.663333333;
1;23;2.10GHz;106.15;15.8;56880.0;541.558653846;
1;24;2.10GHz;101.11;15.2;54720.0;549.181818182;
1;25;2.10GHz;105.59;16.2;58320.0;548.484057971;
1;26;2.10GHz;105.99;16.2;58320.0;546.078823529;
1;27;2.10GHz;92.05;14.3;51480.0;567.905555556;
1;28;2.10GHz;98.97;15.3;55080.0;560.684536082;
1;29;2.10GHz;93.63;14.8;53280.0;569.530107527;
1;30;2.10GHz;97.61;15.0;54000.0;562.068421053;
1;31;2.10GHz;90.67;14.3;51480.0;574.36741573;
1;32;2.10GHz;80.71;13.3;47880.0;600.707594937;
1;33;2.10GHz;81.08;13.4;48240.0;601.664556962;
1;34;2.10GHz;82.35;13.7;49320.0;598.858333333;
1;35;2.10GHz;84.38;13.7;49320.0;596.357317073;
1;36;2.10GHz;79.28;13.1;47160.0;606.714285714;
1;37;2.10GHz;82.71;13.6;48960.0;600.279012346;
1;38;2.10GHz;80.01;13.3;47880.0;609.269230769;
1;39;2.10GHz;81.01;13.6;48960.0;606.86375;
1;40;2.10GHz;72.93;12.7;45720.0;634.097183099;
1;41;2.10GHz;68.80;12.1;43560.0;646.568656716;
1;42;2.10GHz;70.74;12.4;44640.0;642.394202899;
1;43;2.10GHz;70.31;12.4;44640.0;646.289705882;
1;44;2.10GHz;71.14;12.5;45000.0;643.549275362;
1;45;2.10GHz;77.42;13.3;47880.0;630.729333333;
1;46;2.10GHz;72.76;12.9;46440.0;642.026760563;
1;47;2.10GHz;75.37;13.1;47160.0;638.504109589;
1;48;2.10GHz;76.11;13.1;47160.0;633.762162162;
