#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.10GHz;528.80;57.1;205560.0;391.165209125;
1;2;2.10GHz;264.32;28.8;103680.0;396.301149425;
1;3;2.10GHz;176.16;19.4;69840.0;401.262427746;
1;4;2.10GHz;131.93;14.5;52200.0;406.110833333;
1;5;2.10GHz;105.53;11.8;42480.0;411.432352941;
1;6;2.10GHz;88.22;10.0;36000.0;416.355813953;
1;7;2.10GHz;75.49;8.5;30600.0;421.054166667;
1;8;2.10GHz;66.05;7.6;27360.0;425.479365079;
1;9;2.10GHz;58.69;6.8;24480.0;430.4375;
1;10;2.10GHz;52.85;6.1;21960.0;435.51;
1;11;2.10GHz;48.06;5.6;20160.0;440.346666667;
1;12;2.10GHz;44.08;5.2;18720.0;444.987804878;
1;13;2.10GHz;40.67;4.9;17640.0;450.0;
1;14;2.10GHz;37.80;4.5;16200.0;454.134285714;
1;15;2.10GHz;35.26;4.2;15120.0;459.1625;
1;16;2.10GHz;33.13;4.0;14400.0;464.036666667;
1;17;2.10GHz;31.16;3.7;13320.0;469.296428571;
1;18;2.10GHz;29.47;3.6;12960.0;474.415384615;
1;19;2.10GHz;27.91;3.5;12600.0;479.428;
1;20;2.10GHz;26.52;3.3;11880.0;484.491304348;
1;21;2.10GHz;25.26;3.1;11160.0;489.604545455;
1;22;2.10GHz;24.15;3.0;10800.0;494.980952381;
1;23;2.10GHz;23.09;2.9;10440.0;500.265;
1;24;2.10GHz;22.18;2.8;10080.0;505.957894737;
1;25;2.10GHz;21.32;2.7;9720.0;509.788888889;
1;26;2.10GHz;20.49;2.6;9360.0;514.494117647;
1;27;2.10GHz;19.76;2.6;9360.0;519.835294118;
1;28;2.10GHz;19.05;2.5;9000.0;525.3125;
1;29;2.10GHz;18.46;2.3;8280.0;529.893333333;
1;30;2.10GHz;17.90;2.4;8640.0;534.22;
1;31;2.10GHz;17.29;2.2;7920.0;539.528571429;
1;32;2.10GHz;16.73;2.2;7920.0;544.478571429;
1;33;2.10GHz;16.30;2.1;7560.0;549.8;
1;34;2.10GHz;15.88;2.1;7560.0;553.438461538;
1;35;2.10GHz;15.51;2.2;7920.0;556.946153846;
1;36;2.10GHz;15.14;2.0;7200.0;561.866666667;
1;37;2.10GHz;14.78;2.1;7560.0;568.8;
1;38;2.10GHz;14.50;2.1;7560.0;575.4;
1;39;2.10GHz;14.18;1.9;6840.0;578.3;
1;40;2.10GHz;13.90;1.9;6840.0;582.718181818;
1;41;2.10GHz;13.61;2.0;7200.0;588.118181818;
1;42;2.10GHz;13.31;1.8;6480.0;592.87;
1;43;2.10GHz;13.02;1.9;6840.0;597.93;
1;44;2.10GHz;12.80;1.9;6840.0;603.46;
1;45;2.10GHz;12.57;1.9;6840.0;608.25;
1;46;2.10GHz;12.27;1.7;6120.0;613.822222222;
1;47;2.10GHz;12.09;1.7;6120.0;618.277777778;
1;48;2.10GHz;11.83;1.7;6120.0;623.533333333;
