#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.10GHz;41.64;4.39999999999;15840.0;395.194871795;
1;2;2.10GHz;27.81;2.90000000001;10440.0;398.084;
1;3;2.10GHz;19.64;2.0;7200.0;400.823529412;
1;4;2.10GHz;19.08;1.90000000001;6840.00000003;401.925;
1;5;2.10GHz;16.79;1.7;6119.99999999;405.528571429;
1;6;2.10GHz;14.61;1.39999999999;5039.99999998;410.616666667;
1;7;2.10GHz;13.12;1.2;4319.99999999;411.67;
1;8;2.10GHz;11.86;1.09999999999;3959.99999997;410.222222222;
1;9;2.10GHz;11.75;1.09999999999;3959.99999997;414.933333333;
1;10;2.10GHz;11.22;1.0;3600.0;416.2375;
1;11;2.10GHz;10.43;0.900000000009;3240.00000003;413.485714286;
1;12;2.10GHz;10.38;1.0;3600.0;417.228571429;
1;13;2.10GHz;10.04;1.0;3600.0;419.571428571;
1;14;2.10GHz;9.42;0.800000000003;2880.00000001;415.883333333;
1;15;2.10GHz;9.45;0.800000000003;2880.00000001;417.066666667;
1;16;2.10GHz;8.98;0.800000000003;2880.00000001;420.533333333;
1;17;2.10GHz;8.72;0.800000000003;2880.00000001;416.816666667;
1;18;2.10GHz;9.32;0.800000000003;2880.00000001;414.583333333;
1;19;2.10GHz;8.52;0.699999999997;2519.99999999;413.62;
1;20;2.10GHz;8.28;0.699999999997;2519.99999999;418.48;
1;21;2.10GHz;8.49;0.699999999997;2519.99999999;417.84;
1;22;2.10GHz;8.51;0.799999999988;2879.99999996;403.533333333;
1;23;2.10GHz;8.06;0.699999999997;2519.99999999;412.34;
1;24;2.10GHz;8.02;0.699999999997;2519.99999999;427.16;
1;25;2.10GHz;8.22;0.699999999997;2519.99999999;412.98;
1;26;2.10GHz;7.68;0.699999999997;2519.99999999;431.08;
1;27;2.10GHz;7.66;0.800000000003;2880.00000001;432.82;
1;28;2.10GHz;8.1;0.699999999997;2519.99999999;428.42;
1;29;2.10GHz;7.65;0.699999999997;2519.99999999;417.9;
1;30;2.10GHz;7.84;0.800000000003;2880.00000001;418.44;
1;31;2.10GHz;7.72;0.800000000003;2880.00000001;412.1;
1;32;2.10GHz;7.68;0.800000000003;2880.00000001;409.5;
1;33;2.10GHz;7.9;0.699999999997;2519.99999999;436.18;
1;34;2.10GHz;8.06;0.699999999997;2519.99999999;433.2;
1;35;2.10GHz;7.83;0.699999999997;2519.99999999;426.44;
1;36;2.10GHz;7.72;0.699999999997;2519.99999999;416.12;
1;37;2.10GHz;7.7;0.900000000009;3240.00000003;412.233333333;
1;38;2.10GHz;7.84;0.699999999997;2519.99999999;437.4;
1;39;2.10GHz;7.96;0.800000000003;2880.00000001;436.22;
1;40;2.10GHz;7.67;0.800000000003;2880.00000001;432.02;
1;41;2.10GHz;8.1;0.699999999997;2519.99999999;417.28;
1;42;2.10GHz;7.97;0.800000000003;2880.00000001;438.28;
1;43;2.10GHz;7.74;0.699999999997;2519.99999999;432.9;
1;44;2.10GHz;7.96;0.699999999997;2519.99999999;422.88;
1;45;2.10GHz;7.6;0.700000000012;2520.00000004;418.7;
1;46;2.10GHz;7.86;0.699999999997;2519.99999999;416.42;
1;47;2.10GHz;7.67;0.699999999997;2519.99999999;445.7;
1;48;2.10GHz;7.6;0.700000000012;2520.00000004;448.72;
