#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.10GHz;198.99;21.4;77040.0;391.750510204;
1;2;2.10GHz;100.53;10.7;38520.0;396.683505155;
1;3;2.10GHz;70.48;7.60000000001;27360.0;402.095522388;
1;4;2.10GHz;55.43;6.0;21600.0;407.126923077;
1;5;2.10GHz;43.94;4.89999999999;17640.0;412.473170732;
1;6;2.10GHz;37.28;4.29999999999;15480.0;416.894444444;
1;7;2.10GHz;32.46;3.5;12600.0;423.217241379;
1;8;2.10GHz;28.83;3.2;11520.0;426.919230769;
1;9;2.10GHz;26.12;2.89999999999;10440.0;431.843478261;
1;10;2.10GHz;23.84;2.60000000001;9360.00000002;435.466666667;
1;11;2.10GHz;22.27;2.39999999999;8639.99999998;440.652631579;
1;12;2.10GHz;20.46;2.2;7919.99999999;444.205882353;
1;13;2.10GHz;19.43;2.3;8280.00000001;451.111764706;
1;14;2.10GHz;18.19;2.0;7200.0;453.94;
1;15;2.10GHz;17.2;1.90000000001;6840.00000003;456.371428571;
1;16;2.10GHz;16.4;1.8;6480.00000001;464.669230769;
1;17;2.10GHz;15.73;1.8;6480.00000001;463.638461538;
1;18;2.10GHz;15.08;1.7;6119.99999999;471.1;
1;19;2.10GHz;14.42;1.5;5400.0;473.390909091;
1;20;2.10GHz;13.76;1.59999999999;5759.99999997;471.227272727;
1;21;2.10GHz;13.32;1.39999999999;5039.99999998;478.72;
1;22;2.10GHz;13.01;1.5;5400.0;487.827272727;
1;23;2.10GHz;12.72;1.5;5400.0;478.26;
1;24;2.10GHz;12.32;1.3;4680.00000001;488.511111111;
1;25;2.10GHz;11.96;1.40000000001;5040.00000003;484.1;
1;26;2.10GHz;11.73;1.39999999999;5039.99999998;487.555555556;
1;27;2.10GHz;11.48;1.2;4319.99999999;499.9;
1;28;2.10GHz;11.23;1.3;4680.00000001;497.4375;
1;29;2.10GHz;10.91;1.2;4319.99999999;489.5625;
1;30;2.10GHz;10.61;1.2;4319.99999999;494.275;
1;31;2.10GHz;10.57;1.2;4319.99999999;494.625;
1;32;2.10GHz;10.31;1.10000000001;3960.00000002;505.271428571;
1;33;2.10GHz;10.27;1.2;4319.99999999;525.25;
1;34;2.10GHz;10.02;1.10000000001;3960.00000002;511.657142857;
1;35;2.10GHz;9.84;1.09999999999;3959.99999997;498.471428571;
1;36;2.10GHz;9.62;1.10000000001;3960.00000002;502.628571429;
1;37;2.10GHz;9.44;1.0;3600.0;521.783333333;
1;38;2.10GHz;9.36;1.0;3600.0;516.7;
1;39;2.10GHz;9.26;1.10000000001;3960.00000002;546.2;
1;40;2.10GHz;8.93;1.0;3600.0;524.033333333;
1;41;2.10GHz;9.08;1.09999999999;3959.99999997;537.95;
1;42;2.10GHz;8.85;1.0;3600.0;514.716666667;
1;43;2.10GHz;8.66;1.0;3600.0;521.783333333;
1;44;2.10GHz;8.6;1.0;3600.0;522.0;
1;45;2.10GHz;8.56;1.0;3600.0;519.6;
1;46;2.10GHz;8.49;0.899999999994;3239.99999998;539.26;
1;47;2.10GHz;8.56;1.0;3600.0;511.85;
1;48;2.10GHz;8.31;0.900000000009;3240.00000003;524.38;
