#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.10GHz;103.35;11.1;39960.0;396.97;
1;2;2.10GHz;92.43;9.90000000001;35640.0;394.682022472;
1;3;2.10GHz;92.39;9.90000000001;35640.0;393.833707865;
1;4;2.10GHz;94.29;10.1;36360.0;393.312087912;
1;5;2.10GHz;91.16;9.7;34920.0;393.689772727;
1;6;2.10GHz;92.65;9.90000000001;35640.0;394.274444444;
1;7;2.10GHz;86.5;9.10000000001;32760.0;393.859036145;
1;8;2.10GHz;88.84;9.39999999999;33840.0;393.482352941;
1;9;2.10GHz;90.28;9.5;34200.0;393.252873563;
1;10;2.10GHz;93.03;9.90000000001;35640.0;393.25;
1;11;2.10GHz;87.8;9.39999999999;33840.0;394.004705882;
1;12;2.10GHz;87.99;9.40000000001;33840.0;393.9;
1;13;2.10GHz;90.32;9.60000000001;34560.0;393.535632184;
1;14;2.10GHz;89.8;9.60000000001;34560.0;394.024137931;
1;15;2.10GHz;86.67;9.29999999999;33480.0;394.55;
1;16;2.10GHz;87.42;9.2;33120.0;393.376190476;
1;17;2.10GHz;90.6;9.7;34920.0;393.127272727;
1;18;2.10GHz;85.55;9.09999999999;32760.0;392.645783133;
1;19;2.10GHz;89.28;9.39999999999;33840.0;392.430232558;
1;20;2.10GHz;85.92;9.20000000001;33120.0;392.554216867;
1;21;2.10GHz;87.13;9.29999999999;33480.0;392.747619048;
1;22;2.10GHz;88.27;9.29999999999;33480.0;392.575294118;
1;23;2.10GHz;88.09;9.40000000001;33840.0;392.11147541;
1;24;2.10GHz;87.02;9.3;33480.0;392.71547619;
1;25;2.10GHz;85.08;9.09999999999;32760.0;392.584146341;
1;26;2.10GHz;91.4;9.7;34920.0;392.446590909;
1;27;2.10GHz;87.49;9.20000000001;33120.0;392.576190476;
1;28;2.10GHz;85.32;9.10000000001;32760.0;392.406097561;
1;29;2.10GHz;86.25;9.20000000001;33120.0;392.702409639;
1;30;2.10GHz;89.51;9.5;34200.0;392.265116279;
1;31;2.10GHz;86.81;9.3;33480.0;392.177647059;
1;32;2.10GHz;91.8;9.8;35280.0;392.882022472;
1;33;2.10GHz;90.2;9.5;34200.0;392.654022989;
1;34;2.10GHz;84.31;8.90000000001;32040.0;392.424691358;
1;35;2.10GHz;86.71;9.3;33480.0;392.214285714;
1;36;2.10GHz;91.57;9.79999999999;35280.0;392.433707865;
1;37;2.10GHz;88.81;9.5;34200.0;393.305813953;
1;38;2.10GHz;87.47;9.3;33480.0;392.304761905;
1;39;2.10GHz;88.22;9.3;33480.0;392.338823529;
1;40;2.10GHz;86.07;9.2;33120.0;394.226506024;
1;41;2.10GHz;87.77;9.3;33480.0;392.258823529;
1;42;2.10GHz;91.6;9.8;35280.0;391.949438202;
1;43;2.10GHz;89.84;9.59999999999;34560.0;392.122988506;
1;44;2.10GHz;91.78;9.8;35280.0;393.196629213;
1;45;2.10GHz;92.78;10.0;36000.0;394.702222222;
1;46;2.10GHz;91.38;9.59999999999;34560.0;392.894318182;
1;47;2.10GHz;90.39;9.59999999999;34560.0;392.777011494;
1;48;2.10GHz;88.71;9.8;35280.0;395.220289855;
