#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.10GHz;1419.45;156.7;564120.0;396.486827195;
1;2;2.10GHz;739.98;83.3;299880.0;405.099863388;
1;3;2.10GHz;523.26;60.0;216000.0;412.961450382;
1;4;2.10GHz;392.51;46.0;165600.0;422.213520408;
1;5;2.10GHz;322.74;38.5;138600.0;430.039130435;
1;6;2.10GHz;331.30;39.7;142920.0;431.903625378;
1;7;2.10GHz;253.55;31.2;112320.0;443.6;
1;8;2.10GHz;309.81;37.7;135720.0;438.048543689;
1;9;2.10GHz;234.85;29.3;105480.0;451.179059829;
1;10;2.10GHz;268.02;33.3;119880.0;448.845692884;
1;11;2.10GHz;239.59;30.4;109440.0;457.575313808;
1;12;2.10GHz;211.53;27.4;98640.0;466.096208531;
1;13;2.10GHz;188.57;24.8;89280.0;476.951336898;
1;14;2.10GHz;199.60;26.2;94320.0;475.300505051;
1;15;2.10GHz;179.41;24.1;86760.0;484.821910112;
1;16;2.10GHz;171.18;23.3;83880.0;491.424117647;
1;17;2.10GHz;179.04;24.3;87480.0;489.444382022;
1;18;2.10GHz;170.60;23.5;84600.0;495.847058824;
1;19;2.10GHz;163.64;22.7;81720.0;501.551851852;
1;20;2.10GHz;168.43;23.5;84600.0;503.421556886;
1;21;2.10GHz;159.34;22.5;81000.0;509.255696203;
1;22;2.10GHz;152.51;21.8;78480.0;516.925827815;
1;23;2.10GHz;160.32;22.9;82440.0;514.785534591;
1;24;2.10GHz;155.64;22.4;80640.0;518.848051948;
1;25;2.10GHz;144.31;21.1;75960.0;529.970629371;
1;26;2.10GHz;141.72;21.0;75600.0;535.094656489;
1;27;2.10GHz;158.22;23.0;82800.0;524.903184713;
1;28;2.10GHz;146.57;21.7;78120.0;535.823448276;
1;29;2.10GHz;148.20;22.0;79200.0;535.825170068;
1;30;2.10GHz;135.46;20.8;74880.0;546.611111111;
1;31;2.10GHz;135.06;20.7;74520.0;554.242537313;
1;32;2.10GHz;140.15;21.4;77040.0;551.661870504;
1;33;2.10GHz;145.05;22.0;79200.0;548.048611111;
1;34;2.10GHz;129.20;20.4;73440.0;564.192741935;
1;35;2.10GHz;126.00;19.9;71640.0;571.8072;
1;36;2.10GHz;125.49;19.9;71640.0;574.081451613;
1;37;2.10GHz;122.65;19.7;70920.0;583.436363636;
1;38;2.10GHz;128.29;20.6;74160.0;579.095275591;
1;39;2.10GHz;124.43;20.2;72720.0;587.52601626;
1;40;2.10GHz;124.53;20.5;73800.0;591.012820513;
1;41;2.10GHz;125.35;20.6;74160.0;594.835483871;
1;42;2.10GHz;125.04;20.6;74160.0;594.124193548;
1;43;2.10GHz;125.17;20.7;74520.0;596.993548387;
1;44;2.10GHz;131.47;21.5;77400.0;592.943076923;
1;45;2.10GHz;127.81;21.2;76320.0;603.578571429;
1;46;2.10GHz;130.38;21.8;78480.0;604.124806202;
1;47;2.10GHz;128.07;21.6;77760.0;608.095275591;
1;48;2.10GHz;139.90;23.4;84240.0;602.174820144;
