#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W]
1;1;1.73GHz;44.795624959;1.59763333333;5751.48;125.032173913
1;2;1.73GHz;24.001497837;0.867538888889;3123.14;124.9256
1;3;1.73GHz;17.056438754;0.627269444444;2258.17;125.453888889
1;4;1.73GHz;13.605583279;0.528386111111;1902.19;126.812666667
1;5;1.73GHz;11.530158673;0.461527777778;1661.5;127.807692308
1;6;1.73GHz;10.146215905;0.39115;1408.14;128.012727273
1;7;1.73GHz;9.144104994;0.390525;1405.89;127.808181818
1;8;1.73GHz;8.416528193;0.353766666667;1273.56;127.356
1;9;1.73GHz;7.833963681;0.355344444444;1279.24;127.924
1;10;1.73GHz;7.362441197;0.282194444444;1015.9;126.9875
1;11;1.73GHz;6.987681855;0.285211111111;1026.76;128.345
1;12;1.73GHz;6.689070963;0.285630555556;1028.27;128.53375
1;13;1.73GHz;6.411209247;0.248708333333;895.35;127.907142857
1;14;1.73GHz;6.184797696;0.252847222222;910.25;130.035714286
1;15;1.73GHz;5.985896035;0.290777777778;1046.8;130.85
1;16;1.73GHz;5.833437579;0.252780555556;910.01;130.001428571
1;17;1.73GHz;5.667308321;0.293313888889;1055.93;131.99125
1;18;1.73GHz;5.52382013;0.247811111111;892.12;127.445714286
1;19;1.73GHz;5.415810457;0.254316666667;915.54;130.791428571
1;20;1.73GHz;5.311938511;0.251130555556;904.07;129.152857143
1;21;1.73GHz;5.216206832;0.217919444444;784.51;130.751666667
1;22;1.73GHz;5.114366709;0.217833333333;784.2;130.7
1;23;1.73GHz;5.037165696;0.253252777778;911.71;130.244285714
1;24;1.73GHz;4.959320007;0.220033333333;792.12;132.02
1;25;1.73GHz;4.874857028;0.218383333333;786.18;131.03
1;26;1.73GHz;4.822615273;0.218152777778;785.35;130.891666667
1;27;1.73GHz;4.75108224;0.222269444444;800.17;133.361666667
1;28;1.73GHz;4.701256966;0.219108333333;788.79;131.465
1;29;1.73GHz;4.664195539;0.220277777778;793;132.166666667
1;30;1.73GHz;4.601007341;0.218555555556;786.8;131.133333333
1;31;1.73GHz;4.570565161;0.221241666667;796.47;132.745
1;32;1.73GHz;4.532945121;0.224691666667;808.89;134.815
1;33;1.73GHz;4.483227508;0.217661111111;783.58;130.596666667
1;34;1.73GHz;4.461066171;0.217247222222;782.09;130.348333333
1;35;1.73GHz;4.421552617;0.220586111111;794.11;132.351666667
1;36;1.73GHz;4.388222363;0.216025;777.69;129.615
1;37;1.73GHz;4.368633913;0.183691666667;661.29;132.258
1;38;1.73GHz;4.332991828;0.183069444444;659.05;131.81
1;39;1.73GHz;4.304399093;0.215933333333;777.36;129.56
1;40;1.73GHz;4.269693609;0.217222222222;782;130.333333333
1;41;1.73GHz;4.261918153;0.214480555556;772.13;128.688333333
1;42;1.73GHz;4.223934977;0.216080555556;777.89;129.648333333
1;43;1.73GHz;4.197283789;0.216616666667;779.82;129.97
1;44;1.73GHz;4.173713873;0.182783333333;658.02;131.604
1;45;1.73GHz;4.15986524;0.183025;658.89;131.778
1;46;1.73GHz;4.135165215;0.216475;779.31;129.885
1;47;1.73GHz;4.115125979;0.22285;802.26;133.71
1;48;1.73GHz;4.125603035;0.216838888889;780.62;130.103333333
