#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W]
1;1;1.73GHz;5440.1;194.120558333;698834.01;127.315359811
1;2;1.73GHz;2743.32;98.7512527778;355504.51;128.43371026
1;3;1.73GHz;1887.23;68.421175;246316.23;129.299858268
1;4;1.73GHz;1406.65;51.81435;186531.66;131.360323944
1;5;1.73GHz;1129.99;42.1772166667;151837.98;133.074478528
1;6;1.73GHz;956.7;36.1721388889;130219.7;134.80300207
1;7;1.73GHz;821.34;31.2435777778;112476.88;135.514313253
1;8;1.73GHz;717.17;27.6592111111;99573.16;137.342289655
1;9;1.73GHz;646.49;25.3506277778;91262.26;139.758437979
1;10;1.73GHz;576.48;22.9029916667;82450.77;141.424991424
1;11;1.73GHz;540.14;21.4582861111;77249.83;141.483205128
1;12;1.73GHz;503.49;20.2447277778;72881.02;143.184715128
1;13;1.73GHz;468.16;19.0112972222;68440.67;144.389599156
1;14;1.73GHz;434.15;17.7623027778;63944.29;145.658974943
1;15;1.73GHz;399.06;16.5483388889;59574.02;147.460445545
1;16;1.73GHz;364.35;15.3989527778;55436.23;150.233685637
1;17;1.73GHz;363.6;15.3394138889;55221.89;149.652818428
1;18;1.73GHz;328.39;14.1184694444;50826.49;152.632102102
1;19;1.73GHz;328.35;14.0976444444;50751.52;152.406966967
1;20;1.73GHz;293.7;12.8855555556;46388;155.66442953
1;21;1.73GHz;293.15;12.7849833333;46025.94;154.969494949
1;22;1.73GHz;293.06;12.778875;46003.95;154.895454545
1;23;1.73GHz;258.64;11.5332166667;41519.58;158.471679389
1;24;1.73GHz;258.14;11.5522222222;41588;158.732824427
1;25;1.73GHz;258.26;11.5477138889;41571.77;158.670877863
1;26;1.73GHz;256.76;11.5229416667;41482.59;158.937126437
1;27;1.73GHz;223.19;10.3138361111;37129.81;164.29119469
1;28;1.73GHz;223.38;10.3065972222;37103.75;163.452643172
1;29;1.73GHz;223.51;10.3293583333;37185.69;163.813612335
1;30;1.73GHz;223.56;10.3176527778;37143.55;163.627973568
1;31;1.73GHz;223.35;10.2995055556;37078.22;163.340176211
1;32;1.73GHz;189.26;9.03286388889;32518.31;169.366197917
1;33;1.73GHz;188.94;9.051425;32585.13;169.71421875
1;34;1.73GHz;189.01;9.05696388889;32605.07;169.818072917
1;35;1.73GHz;189.24;9.00623333333;32422.44;168.866875
1;36;1.73GHz;189.4;9.00174444444;32406.28;168.782708333
1;37;1.73GHz;190.08;8.99202777778;32371.3;167.726943005
1;38;1.73GHz;190.03;9.01466944444;32452.81;168.149274611
1;39;1.73GHz;188.23;8.91379722222;32089.67;167.133697917
1;40;1.73GHz;156.15;7.73249166667;27836.97;175.075283019
1;41;1.73GHz;155.48;7.75068055556;27902.45;176.59778481
1;42;1.73GHz;155.56;7.76254444444;27945.16;175.75572327
1;43;1.73GHz;155.55;7.74129166667;27868.65;176.383860759
1;44;1.73GHz;155.68;7.72901388889;27824.45;176.104113924
1;45;1.73GHz;156.22;7.71288333333;27766.38;174.631320755
1;46;1.73GHz;156.54;7.68337222222;27660.14;173.963144654
1;47;1.73GHz;156.67;7.74269722222;27873.71;174.2106875
1;48;1.73GHz;157.39;7.74273888889;27873.86;173.129565217
