#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W]
1;1;1.73GHz;628.51;22.0441444444;79358.92;125.966539683
1;2;1.73GHz;314.27;11.0829194444;39898.51;126.661936508
1;3;1.73GHz;209.67;7.48668611111;26952.07;127.73492891
1;4;1.73GHz;157.19;5.65555277778;20359.99;128.050251572
1;5;1.73GHz;125.72;4.55873611111;16411.45;128.214453125
1;6;1.73GHz;104.77;3.84413333333;13838.88;129.335327103
1;7;1.73GHz;89.81;3.35450555556;12076.22;131.26326087
1;8;1.73GHz;78.57;2.94560277778;10604.17;132.552125
1;9;1.73GHz;69.82;2.62332777778;9443.98;133.013802817
1;10;1.73GHz;62.97;2.41641111111;8699.08;133.832
1;11;1.73GHz;57.12;2.19572222222;7904.6;133.976271186
1;12;1.73GHz;52.69;2.01483055556;7253.39;134.322037037
1;13;1.73GHz;48.77;1.87513333333;6750.48;135.0096
1;14;1.73GHz;45.3;1.74552777778;6283.9;136.606521739
1;15;1.73GHz;42.92;1.68901944444;6080.47;138.1925
1;16;1.73GHz;40.07;1.62398888889;5846.36;139.199047619
1;17;1.73GHz;38.26;1.52597777778;5493.52;140.859487179
1;18;1.73GHz;36.13;1.49646666667;5387.28;141.770526316
1;19;1.73GHz;34.37;1.42430555556;5127.5;142.430555556
1;20;1.73GHz;33.05;1.36331388889;4907.93;144.350882353
1;21;1.73GHz;31.65;1.32251944444;4761.07;144.274848485
1;22;1.73GHz;30.29;1.28704444444;4633.36;144.7925
1;23;1.73GHz;29.06;1.21884722222;4387.85;146.261666667
1;24;1.73GHz;27.77;1.18464444444;4264.72;147.059310345
1;25;1.73GHz;26.85;1.15378888889;4153.64;148.344285714
1;26;1.73GHz;25.88;1.11648055556;4019.33;148.864074074
1;27;1.73GHz;24.92;1.08271944444;3897.79;149.915
1;28;1.73GHz;24.05;1.08254444444;3897.16;149.890769231
1;29;1.73GHz;23.26;1.00728055556;3626.21;151.092083333
1;30;1.73GHz;22.5;1.01896111111;3668.26;152.844166667
1;31;1.73GHz;21.78;0.981858333333;3534.69;153.682173913
1;32;1.73GHz;21.09;0.940822222222;3386.96;153.952727273
1;33;1.73GHz;20.46;0.940177777778;3384.64;153.847272727
1;34;1.73GHz;19.9;0.900877777778;3243.16;154.436190476
1;35;1.73GHz;19.34;0.892363888889;3212.51;152.976666667
1;36;1.73GHz;18.78;0.858727777778;3091.42;154.571
1;37;1.73GHz;18.28;0.829347222222;2985.65;157.139473684
1;38;1.73GHz;17.8;0.832683333333;2997.66;157.771578947
1;39;1.73GHz;17.35;0.832363888889;2996.51;157.711052632
1;40;1.73GHz;16.93;0.790530555556;2845.91;158.106111111
1;41;1.73GHz;16.54;0.789008333333;2840.43;157.801666667
1;42;1.73GHz;16.13;0.751905555556;2706.86;159.227058824
1;43;1.73GHz;15.76;0.754916666667;2717.7;159.864705882
1;44;1.73GHz;15.4;0.756655555556;2723.96;160.232941176
1;45;1.73GHz;15.15;0.71215;2563.74;160.23375
1;46;1.73GHz;14.78;0.714288888889;2571.44;160.715
1;47;1.73GHz;14.55;0.717441666667;2582.79;161.424375
1;48;1.73GHz;14.18;0.680397222222;2449.43;153.089375
