#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W]
1;1;1.73GHz;356.016984781;12.5728222222;45262.16;126.430614525
1;2;1.73GHz;178.409946537;6.41591111111;23097.28;128.318222222
1;3;1.73GHz;122.342248249;4.45395277778;16034.23;129.308306452
1;4;1.73GHz;92.067163031;3.36336388889;12108.11;130.194731183
1;5;1.73GHz;73.807636777;2.73546388889;9847.67;131.302266667
1;6;1.73GHz;61.826413003;2.31816111111;8345.38;132.466349206
1;7;1.73GHz;52.837290792;2.03618888889;7330.28;133.277818182
1;8;1.73GHz;46.419345755;1.79378611111;6457.63;134.533958333
1;9;1.73GHz;41.496278421;1.61812222222;5825.24;135.470697674
1;10;1.73GHz;37.389311042;1.47553055556;5311.91;136.202820513
1;11;1.73GHz;34.342970677;1.37143333333;4937.16;137.143333333
1;12;1.73GHz;31.357213629;1.26214444444;4543.72;137.688484848
1;13;1.73GHz;29.290786573;1.19559722222;4304.15;138.843548387
1;14;1.73GHz;27.114001303;1.08411944444;3902.83;139.386785714
1;15;1.73GHz;25.350105368;1.01419722222;3651.11;140.427307692
1;16;1.73GHz;23.728285209;0.981180555556;3532.25;141.29
1;17;1.73GHz;22.366030989;0.948972222222;3416.3;142.345833333
1;18;1.73GHz;21.16044408;0.872133333333;3139.68;142.712727273
1;19;1.73GHz;20.038069042;0.835458333333;3007.65;143.221428571
1;20;1.73GHz;19.006384985;0.834738888889;3005.06;143.098095238
1;21;1.73GHz;18.113101365;0.766505555556;2759.42;145.232631579
1;22;1.73GHz;17.6144661;0.768036111111;2764.93;145.522631579
1;23;1.73GHz;17.094432102;0.730930555556;2631.35;146.186111111
1;24;1.73GHz;16.207168206;0.689166666667;2481;145.941176471
1;25;1.73GHz;15.483558527;0.691677777778;2490.04;146.472941176
1;26;1.73GHz;15.212859025;0.657013888889;2365.25;147.828125
1;27;1.73GHz;14.75066303;0.701761111111;2526.34;148.608235294
1;28;1.73GHz;14.23979346;0.620369444444;2233.33;148.888666667
1;29;1.73GHz;13.77908463;0.621991666667;2239.17;149.278
1;30;1.73GHz;13.145520445;0.622730555556;2241.83;149.455333333
1;31;1.73GHz;12.954363063;0.589861111111;2123.5;151.678571429
1;32;1.73GHz;12.551796797;0.586855555556;2112.68;150.905714286
1;33;1.73GHz;12.243815902;0.547716666667;1971.78;151.675384615
1;34;1.73GHz;11.873072772;0.594080555556;2138.69;152.763571429
1;35;1.73GHz;11.520768854;0.553338888889;1992.02;153.232307692
1;36;1.73GHz;11.209081939;0.551397222222;1985.03;152.694615385
1;37;1.73GHz;11.004761388;0.513613888889;1849.01;154.084166667
1;38;1.73GHz;10.702217725;0.51505;1854.18;154.515
1;39;1.73GHz;10.402841273;0.519313888889;1869.53;155.794166667
1;40;1.73GHz;9.862947153;0.474222222222;1707.2;155.2
1;41;1.73GHz;9.930637815;0.519891666667;1871.61;155.9675
1;42;1.73GHz;9.781576736;0.479511111111;1726.24;156.930909091
1;43;1.73GHz;9.532845443;0.487041666667;1753.35;159.395454545
1;44;1.73GHz;9.340466172;0.494108333333;1778.79;161.708181818
1;45;1.73GHz;9.156251353;0.491686111111;1770.07;160.915454545
1;46;1.73GHz;8.958488427;0.488608333333;1758.99;159.908181818
1;47;1.73GHz;8.823789069;0.451527777778;1625.5;162.55
1;48;1.73GHz;8.61289305;0.456255555556;1642.52;164.252
