#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W]
1;1;1.73GHz;74.449126293;2.86526388889;10314.95;135.723026316
1;2;1.73GHz;72.134228993;2.65954444444;9574.36;129.383243243
1;3;1.73GHz;71.258227898;2.56570833333;9236.55;128.285416667
1;4;1.73GHz;70.655705143;2.55151666667;9185.46;127.575833333
1;5;1.73GHz;70.57345334;2.54993055556;9179.75;127.496527778
1;6;1.73GHz;70.02000665;2.5471;9169.56;127.355
1;7;1.73GHz;70.33889123;2.49934444444;8997.64;126.727323944
1;8;1.73GHz;69.810791152;2.50088611111;9003.19;126.805492958
1;9;1.73GHz;69.627754781;2.50319166667;9011.49;126.922394366
1;10;1.73GHz;69.470312375;2.50233333333;9008.4;126.878873239
1;11;1.73GHz;70.227569075;2.53915;9140.94;126.9575
1;12;1.73GHz;69.694442272;2.50433611111;9015.61;126.980422535
1;13;1.73GHz;70.237236837;2.50778611111;9028.03;127.155352113
1;14;1.73GHz;69.767831103;2.54075;9146.7;127.0375
1;15;1.73GHz;69.112729687;2.47469444444;8908.9;127.27
1;16;1.73GHz;70.160610219;2.51412222222;9050.84;127.476619718
1;17;1.73GHz;69.333021807;2.51508888889;9054.32;127.525633803
1;18;1.73GHz;69.28983872;2.50375;9013.5;126.950704225
1;19;1.73GHz;70.097316551;2.548475;9174.51;127.42375
1;20;1.73GHz;70.235966127;2.54955555556;9178.4;127.477777778
1;21;1.73GHz;70.308730932;2.51343055556;9048.35;127.441549296
1;22;1.73GHz;69.430591356;2.53643611111;9131.17;128.608028169
1;23;1.73GHz;69.43943302;2.53641388889;9131.09;128.606901408
1;24;1.73GHz;69.638782987;2.53853055556;9138.71;128.714225352
1;25;1.73GHz;69.051020663;2.551325;9184.77;129.362957746
1;26;1.73GHz;69.414350204;2.52425277778;9087.31;127.99028169
1;27;1.73GHz;69.209560819;2.52572222222;9092.6;128.064788732
1;28;1.73GHz;70.035824578;2.51962777778;9070.66;127.755774648
1;29;1.73GHz;69.76701326;2.54935833333;9177.69;127.467916667
1;30;1.73GHz;69.205353403;2.48658333333;8951.7;127.881428571
1;31;1.73GHz;69.446578049;2.54803611111;9172.93;129.196197183
1;32;1.73GHz;69.654707836;2.54716111111;9169.78;129.151830986
1;33;1.73GHz;69.371027527;2.52979444444;9107.26;128.271267606
1;34;1.73GHz;69.239930522;2.53974722222;9143.09;128.775915493
1;35;1.73GHz;69.021037954;2.505975;9021.51;128.878714286
1;36;1.73GHz;69.136072007;2.50626388889;9022.55;128.893571429
1;37;1.73GHz;69.292675216;2.52688611111;9096.79;128.123802817
1;38;1.73GHz;69.555586181;2.53086111111;9111.1;128.325352113
1;39;1.73GHz;70.009043637;2.57253611111;9261.13;128.626805556
1;40;1.73GHz;69.664804817;2.53011388889;9108.41;128.287464789
1;41;1.73GHz;70.382234881;2.56010833333;9216.39;128.005416667
1;42;1.73GHz;70.130205478;2.55968333333;9214.86;127.984166667
1;43;1.73GHz;69.429379603;2.52552222222;9091.88;128.054647887
1;44;1.73GHz;68.826380472;2.48937222222;8961.74;128.024857143
1;45;1.73GHz;69.687907211;2.5235;9084.6;127.952112676
1;46;1.73GHz;69.732531465;2.5226;9081.36;127.906478873
1;47;1.73GHz;68.997966194;2.528225;9101.61;128.191690141
1;48;1.73GHz;69.529528888;2.52300555556;9082.82;127.927042254
