#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W]
1;1;1.73GHz;5002.29;177.190475;637885.71;126.665152899
1;2;1.73GHz;2550.62;91.5955194444;329743.87;128.354951343
1;3;1.73GHz;1806.32;66.0515805556;237785.69;130.723304013
1;4;1.73GHz;1399.17;51.7188388889;186187.82;132.141816891
1;5;1.73GHz;1190.74;44.8263333333;161374.8;134.591159299
1;6;1.73GHz;1044.35;39.7793444444;143205.64;136.127034221
1;7;1.73GHz;928.6;35.8908055556;129206.9;138.189197861
1;8;1.73GHz;831.75;32.5790611111;117284.62;139.95778043
1;9;1.73GHz;758.39;30.093575;108336.87;141.802185864
1;10;1.73GHz;687.79;27.5520666667;99187.44;143.127619048
1;11;1.73GHz;647.46;26.12975;94067.1;144.053751914
1;12;1.73GHz;604.74;24.4770194444;88117.27;144.691740558
1;13;1.73GHz;570.23;23.5418027778;84750.49;147.392156522
1;14;1.73GHz;539.2;22.2882694444;80237.77;147.767532228
1;15;1.73GHz;502.18;21.0435583333;75756.81;149.71701581
1;16;1.73GHz;467.96;19.7677472222;71163.89;150.77095339
1;17;1.73GHz;464.61;19.6755166667;70831.86;151.027420043
1;18;1.73GHz;428.11;18.2399194444;65663.71;151.999328704
1;19;1.73GHz;427.38;18.0285444444;64902.76;150.586450116
1;20;1.73GHz;391.62;16.7345666667;60244.44;152.51756962
1;21;1.73GHz;390;16.708125;60149.25;152.663071066
1;22;1.73GHz;388.35;16.6924055556;60092.66;153.689667519
1;23;1.73GHz;354.32;15.5073194444;55826.35;155.93952514
1;24;1.73GHz;352.69;15.4132333333;55487.64;155.864157303
1;25;1.73GHz;353.11;15.3852694444;55386.97;155.581376404
1;26;1.73GHz;347.53;15.2522;54907.92;156.432820513
1;27;1.73GHz;316.67;14.1525416667;50949.15;159.21609375
1;28;1.73GHz;318.08;14.1604;50977.44;158.808224299
1;29;1.73GHz;317.87;14.1583666667;50970.12;158.785420561
1;30;1.73GHz;318.48;14.1324583333;50876.85;158.494859813
1;31;1.73GHz;315.53;14.0249694444;50489.89;158.275517241
1;32;1.73GHz;284.6;12.8237361111;46165.45;160.855226481
1;33;1.73GHz;283.88;12.8264444444;46175.2;160.889198606
1;34;1.73GHz;284.18;12.8006138889;46082.21;160.565191638
1;35;1.73GHz;285.29;12.8345027778;46204.21;160.431284722
1;36;1.73GHz;284.76;12.8020138889;46087.25;160.582752613
1;37;1.73GHz;286.33;12.8084277778;46110.34;159.551349481
1;38;1.73GHz;287.5;12.9230583333;46523.01;159.872886598
1;39;1.73GHz;279.2;12.6183916667;45426.21;160.51664311
1;40;1.73GHz;251.84;11.5584583333;41610.45;163.178235294
1;41;1.73GHz;253.41;11.5966833333;41748.06;163.078359375
1;42;1.73GHz;252.28;11.5384666667;41538.48;162.896
1;43;1.73GHz;254.38;11.5819555556;41695.04;162.237509728
1;44;1.73GHz;254.51;11.5532583333;41591.73;161.835525292
1;45;1.73GHz;255.61;11.5682055556;41645.54;161.416821705
1;46;1.73GHz;256.27;11.5645194444;41632.27;160.742355212
1;47;1.73GHz;258.85;11.5991888889;41757.08;159.988812261
1;48;1.73GHz;258.58;11.6105555556;41798;160.14559387
