#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.20GHz;205.4;4.66;16776.0;81.9607843137;
1;2;2.20GHz;108.0;2.6;9360.0;86.8299065421;
1;3;2.20GHz;78.67;1.94;6984.0;89.6753246753;
1;4;2.20GHz;61.98;1.59;5724.0;92.7721311475;
1;5;2.20GHz;52.98;1.37;4932.0;94.8411764706;
1;6;2.20GHz;46.78;1.23;4428.0;96.7222222222;
1;7;2.20GHz;42.47;1.12;4032.0;98.64;
1;8;2.20GHz;38.93;1.05;3780.0;99.627027027;
1;9;2.20GHz;35.39;0.97;3492.0;101.452941176;
1;10;2.20GHz;32.57;0.91;3276.0;103.448387097;
1;11;2.20GHz;32.41;0.9;3240.0;102.770967742;
1;12;2.20GHz;30.52;0.86;3096.0;102.603448276;
1;13;2.20GHz;28.63;0.8;2880.0;103.462962963;
1;14;2.20GHz;27.25;0.77;2772.0;104.457692308;
1;15;2.20GHz;25.85;0.72;2592.0;104.733333333;
1;16;2.20GHz;24.76;0.7;2520.0;104.647826087;
1;17;2.20GHz;23.72;0.67;2412.0;104.895454545;
1;18;2.20GHz;22.87;0.64;2304.0;105.6;
1;19;2.20GHz;21.96;0.61;2196.0;106.905;
1;20;2.20GHz;21.19;0.59;2124.0;107.821052632;
