#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.20GHz;900.41;21.21;76356.0;84.8348164627;
1;2;2.20GHz;476.9;12.15;43740.0;91.8564210526;
1;3;2.20GHz;361.32;9.58;34488.0;95.5633333333;
1;4;2.20GHz;277.62;7.71;27756.0;100.273550725;
1;5;2.20GHz;234.36;6.78;24408.0;104.26695279;
1;6;2.20GHz;205.93;6.15;22140.0;107.410784314;
1;7;2.20GHz;183.67;5.61;20196.0;110.382967033;
1;8;2.20GHz;166.03;5.19;18684.0;112.545454545;
1;9;2.20GHz;151.33;4.89;17604.0;116.638;
1;10;2.20GHz;136.76;4.57;16452.0;121.035555556;
1;11;2.20GHz;179.46;5.52;19872.0;111.648587571;
1;12;2.20GHz;174.74;5.46;19656.0;113.132369942;
1;13;2.20GHz;167.77;5.32;19152.0;114.846385542;
1;14;2.20GHz;161.74;5.21;18756.0;116.7925;
1;15;2.20GHz;154.36;5.04;18144.0;118.665131579;
1;16;2.20GHz;145.9;4.88;17568.0;121.150694444;
1;17;2.20GHz;142.93;4.82;17352.0;122.162411348;
1;18;2.20GHz;135.72;4.66;16776.0;124.561940299;
1;19;2.20GHz;130.39;4.55;16380.0;126.8078125;
1;20;2.20GHz;123.63;4.44;15984.0;130.166393443;
