#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.20GHz;132.3;3.2;11520.0;88.9786259542;
1;2;2.20GHz;70.21;1.9;6840.0;99.5463768116;
1;3;2.20GHz;50.67;1.5;5400.0;107.104081633;
1;4;2.20GHz;42.02;1.3;4680.0;113.1325;
1;5;2.20GHz;37.47;1.2;4320.0;117.897142857;
1;6;2.20GHz;35.43;1.1;3960.0;121.105882353;
1;7;2.20GHz;34.11;1.2;4320.0;124.171875;
1;8;2.20GHz;33.2;1.1;3960.0;126.09375;
1;9;2.20GHz;32.75;1.1;3960.0;129.538709677;
1;10;2.20GHz;32.47;1.2;4320.0;132.919354839;
1;11;2.20GHz;42.79;1.4;5040.0;125.456097561;
1;12;2.20GHz;40.16;1.4;5040.0;127.269230769;
1;13;2.20GHz;37.95;1.3;4680.0;128.886111111;
1;14;2.20GHz;36.33;1.3;4680.0;130.179411765;
1;15;2.20GHz;35.13;1.3;4680.0;131.273529412;
1;16;2.20GHz;34.28;1.2;4320.0;132.124242424;
1;17;2.20GHz;33.86;1.2;4320.0;132.846875;
1;18;2.20GHz;33.55;1.2;4320.0;133.3375;
1;19;2.20GHz;33.35;1.2;4320.0;133.740625;
1;20;2.20GHz;33.26;1.2;4320.0;134.021875;
