#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.20GHz;384.14;8.46;30456.0;79.4761780105;
1;2;2.20GHz;195.63;4.6;16560.0;84.931443299;
1;3;2.20GHz;138.33;3.36;12096.0;88.3191176471;
1;4;2.20GHz;106.39;2.71;9756.0;92.099047619;
1;5;2.20GHz;89.29;2.31;8316.0;94.7287356322;
1;6;2.20GHz;77.76;2.08;7488.0;97.1815789474;
1;7;2.20GHz;69.07;1.87;6732.0;99.0447761194;
1;8;2.20GHz;62.09;1.73;6228.0;100.727868852;
1;9;2.20GHz;55.23;1.58;5688.0;103.885185185;
1;10;2.20GHz;49.65;1.46;5256.0;107.489583333;
1;11;2.20GHz;49.64;1.46;5256.0;107.854166667;
1;12;2.20GHz;45.94;1.37;4932.0;109.420454545;
1;13;2.20GHz;42.85;1.28;4608.0;110.22195122;
1;14;2.20GHz;40.12;1.2;4320.0;110.807692308;
1;15;2.20GHz;37.48;1.14;4104.0;112.075;
1;16;2.20GHz;35.42;1.1;3960.0;112.638235294;
1;17;2.20GHz;34.02;1.06;3816.0;112.975757576;
1;18;2.20GHz;31.58;0.97;3492.0;113.88;
1;19;2.20GHz;29.93;0.92;3312.0;114.535714286;
1;20;2.20GHz;28.83;0.89;3204.0;115.214814815;
